"","response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var1","MusicalDist","GeographicDist",0.29268105725401,0.233737812025178,0.0812269736716441,0.0046625548109478,6.50143306928689,1.95824218585359,100,100
"Var11","DifferentiationDist","GeographicDist",0.239441293827489,0.176061401646446,0.0794707605644192,0.00275999061145415,3.53763513279544,3.44002945368824,95,100
"Var12","DynamicsDist","GeographicDist",0.0770044617611345,8.81669078958147e-05,0.0737343480989163,-0.003454456226174,-3.07990059104242,-1.01941058260913,6,55
"Var13","OrnamentationDist","GeographicDist",0.298321456642647,0.239848244696201,0.0693361863242787,-0.00821913148203137,5.62411305355754,4.88240934360487,99,100
"Var14","RhythmDist","GeographicDist",0.250172962741093,0.18768737630285,0.0787370009173269,0.0019650843271042,5.10571777010216,2.96812723987173,96,99
"Var15","TensionDist","GeographicDist",0.183646194256842,0.115616710444912,0.0785977737316997,0.00181425487600802,2.20688070756821,1.84866203041046,68,94
"Var16","MusicalDist","LanguageDist",0.223470431367561,0.181495860090132,0.048467456230684,-0.00296673532441418,7.0760541950634,3.20052700178298,100,100
"Var17","DifferentiationDist","LanguageDist",0.197042041058024,0.153638908142242,0.0579988633541485,0.00707988299491334,2.75855395456885,2.67051447818523,96,99
"Var18","DynamicsDist","LanguageDist",0.0738247943266515,0.0237612696956596,0.0481573048808332,-0.00329365161209474,1.61177448516201,-2.11925879182294,27,76
"Var19","OrnamentationDist","LanguageDist",0.0942906764270137,0.0453334156933388,0.048582370926752,-0.00284560902315329,1.4878930222182,0.394504238260501,34,79
"Var110","RhythmDist","LanguageDist",0.204738402350407,0.161751288963942,0.051442955885397,0.000169602149472481,5.16430624847715,5.07066998651789,99,100
"Var111","TensionDist","LanguageDist",0.090106109628314,0.0409226560947094,0.0538712694655995,0.00272917592319947,-1.33199318995559,0.0868283286894187,30,79
"Var112","MusicalDist","GeneticDist",0.331889715206901,0.27621385814081,0.0721894156374327,-0.00512813305944795,7.17900003025537,6.07516166187377,99,100
"Var113","DifferentiationDist","GeneticDist",0.237863061531118,0.174351649992044,0.0765237319379056,-0.000432623733935565,4.8285932505579,0.989838941502487,93,100
"Var114","DynamicsDist","GeneticDist",0.14037756195625,0.0687423587859377,0.0723334073859352,-0.00497214199857025,1.53072348863978,-0.379765826180672,39,90
"Var115","OrnamentationDist","GeneticDist",0.0740231311841131,-0.00314160788387752,0.066058834563758,-0.0117695958892622,0.486722941877784,-2.08436772840721,8,48
"Var116","RhythmDist","GeneticDist",0.354529487143045,0.300740277738298,0.0761875921036071,-0.000796775221092277,6.13356869613621,6.87900240215189,100,100
"Var117","TensionDist","GeneticDist",0.169620910725925,0.100422653286419,0.0811973149969831,0.00463042458006502,2.05335244186061,0.969409622563054,58,90
"Var118","DifferentiationDist","MusicalDist",0.563519698315383,0.527146339841664,0.0677930677962144,-0.00989084322076771,16.2393023800479,10.8486641718996,100,100
