"","response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var119","DynamicsDist","MusicalDist",0.22370136062496,0.159009807343707,0.0810701591811084,0.00449267244620074,4.87082614662978,3.63839548619878,96,100
"Var120","OrnamentationDist","MusicalDist",0.511022639698804,0.470274526340371,0.0711741471698765,-0.00622800723263379,6.06247943165959,9.23697922753494,100,100
"Var121","RhythmDist","MusicalDist",0.408499157857815,0.359207421012633,0.0743022224696881,-0.0028392589911712,8.23772371034724,7.60966145182325,100,100
"Var122","TensionDist","MusicalDist",0.563382329035936,0.526997523122264,0.0731010186100782,-0.00414056317241529,15.8131279883123,12.7313069885209,100,100
"Var123","MusicalDist","DifferentiationDist",0.433896271212489,0.386720960480197,0.072705380554992,-0.00456917106542537,10.1382096467452,9.66931792293726,100,100
"Var124","DynamicsDist","DifferentiationDist",0.104916939209537,0.0303266841436647,0.0698299963154749,-0.00768417065823548,-2.61918099087265,-0.873992088974411,27,88
"Var125","OrnamentationDist","DifferentiationDist",0.610973835196893,0.578554988129968,0.0753239825133461,-0.00173235227720838,12.7999053799804,9.31257587275659,100,100
"Var126","RhythmDist","DifferentiationDist",0.193923706390359,0.126750681922889,0.0782172248863329,0.00140199362686065,3.43835475179247,2.15972501248222,76,97
"Var127","TensionDist","DifferentiationDist",0.40656413653847,0.357111147916676,0.0786060377684109,0.00182320758244518,9.76574559337492,7.28592981120821,100,100
"Var128","MusicalDist","DynamicsDist",0.169028529267343,0.0997809067062878,0.0787413541597875,0.00196980033976979,2.65432205147426,1.61462927561091,68,98
"Var129","DifferentiationDist","DynamicsDist",0.0825364577373417,0.00608116254878688,0.0821087287178153,0.0056177894442999,0.968525544603246,-1.72558767115894,6,44
"Var130","OrnamentationDist","DynamicsDist",0.137671256971526,0.06581052838582,0.0789153569687832,0.00215830338284845,2.4134594841023,-1.02272378160655,34,79
"Var131","RhythmDist","DynamicsDist",0.121055559301485,0.047810189243276,0.0782088190658536,0.00139288732134143,-1.86454237884011,-0.616148903705067,30,79
"Var132","TensionDist","DynamicsDist",0.360071731020831,0.306744375272567,0.0776611146557973,0.000799540877113701,7.99916733862295,6.91561200970038,100,100
"Var133","MusicalDist","OrnamentationDist",0.333619773138834,0.297599220335527,0.0488163740246545,-0.00259895710914799,11.9590101832965,8.88019119380387,100,100
"Var134","DifferentiationDist","OrnamentationDist",0.323633009575931,0.287072631715171,0.046927094369095,-0.00459035998933227,7.32715115238731,8.15090990547677,100,100
"Var135","DynamicsDist","OrnamentationDist",0.0779312535712145,0.0280896997101989,0.0529760617963314,0.0017855786501872,0.66839513130084,-1.16978650920762,24,71
"Var136","RhythmDist","OrnamentationDist",0.0676359032437532,0.0172378439596317,0.0468657976580082,-0.00465497003615348,0.843455039139047,-1.23828763714617,24,70
"Var137","TensionDist","OrnamentationDist",0.4179939943964,0.386534210309719,0.0548792915661932,0.00379168570490632,10.7980102066988,9.82623158224373,100,100
"Var138","MusicalDist","RhythmDist",0.273411442673462,0.190372750407572,0.103471730583652,0.00101135693606976,3.0447980600256,2.09653647029404,89,100
"Var139","DifferentiationDist","RhythmDist",0.231567214310866,0.143746324517822,0.0971861074345194,-0.0059926231443926,4.16296756321523,0.793026454705256,80,99
"Var140","DynamicsDist","RhythmDist",0.148271336234998,0.0509309175189979,0.110489474941473,0.00883112922049833,1.27419508676653,-1.77004541388988,24,72
"Var141","OrnamentationDist","RhythmDist",0.143768199731256,0.045913136843399,0.107334886767033,0.00531601668326494,0.465587727647691,-1.92799550948964,21,65
"Var142","TensionDist","RhythmDist",0.262741641123986,0.178483542966728,0.0970307001932905,-0.00616579121319061,4.54649968499638,1.73778721481575,91,100
"Var143","MusicalDist","TensionDist",0.467943685539822,0.423605659334807,0.0737145264368497,-0.0034759296934128,9.92206901368618,9.29882889238797,100,100
"Var144","DifferentiationDist","TensionDist",0.335412722519165,0.280030449395762,0.0719988558263036,-0.00533457285483776,5.389771005843,5.11339571384982,100,100
"Var145","DynamicsDist","TensionDist",0.407168587253289,0.357765969524396,0.0754190111543238,-0.00162940458281592,5.94477577226117,5.78909845949108,100,100
"Var146","OrnamentationDist","TensionDist",0.650481213121275,0.621354647548048,0.0770184809962826,0.00010335441263951,14.8275900216621,12.7567274420717,100,100
"Var147","RhythmDist","TensionDist",0.218895091460303,0.153803015748662,0.0738337273158207,-0.00334679540786092,5.56877143963658,2.8694616206374,96,100
