"","response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var1","MusicalDist","LanguageDist","GeographicDist",0.122096523468107,0.0949776482148981,0.0812269736716441,0.0046625548109478,1.85444561761341,-1.53102755692295,39,91
"Var11","DifferentiationDist","LanguageDist","GeographicDist",0.184498110167224,0.163163208818078,0.0794707605644192,0.00275999061145415,1.98728126395152,3.10407239090688,90,99
"Var12","DynamicsDist","LanguageDist","GeographicDist",0.0694939680772755,0.0208953261420449,0.0737343480989163,-0.003454456226174,-3.28591281313855,-0.492574895438737,4,65
"Var13","OrnamentationDist","LanguageDist","GeographicDist",0.0749350084024981,0.0412400534438186,0.0693361863242787,-0.00821913148203137,0.149382335590017,0.389362053836618,10,74
"Var14","RhythmDist","LanguageDist","GeographicDist",0.164400239856728,0.140793650206415,0.0787370009173269,0.0019650843271042,2.90334795866227,1.85666763186749,84,98
"Var15","TensionDist","LanguageDist","GeographicDist",0.0871792118901984,0.0479771377825755,0.0785977737316997,0.00181425487600802,0.0116002655573763,0.427806036318291,5,74
"Var16","MusicalDist","GeneticDist","GeographicDist",0.220757238979609,0.191234719887282,0.048467456230684,-0.00296673532441418,6.97402807781379,3.54796394869962,100,100
"Var17","DifferentiationDist","GeneticDist","GeographicDist",0.203130099350788,0.165159335746063,0.0579988633541485,0.00707988299491334,2.93640050670176,2.98979495551864,98,99
"Var18","DynamicsDist","GeneticDist","GeographicDist",0.119200921569264,0.0499727406643938,0.0481573048808332,-0.00329365161209474,3.14390966043433,-1.27960903348313,54,87
"Var19","OrnamentationDist","GeneticDist","GeographicDist",0.158734166113271,0.118490218560793,0.048582370926752,-0.00284560902315329,3.22430394257086,2.26460623136647,88,98
"Var110","RhythmDist","GeneticDist","GeographicDist",0.197244060410706,0.15926001469473,0.051442955885397,0.000169602149472481,4.87188261215857,4.9784473299541,99,100
"Var111","TensionDist","GeneticDist","GeographicDist",0.168657941691981,0.11892454113097,0.0538712694655995,0.00272917592319947,1.10644962001246,2.38402654837986,93,100
"Var112","MusicalDist","GeographicDist","LanguageDist",0.191307149354556,0.147219600149944,0.0721894156374327,-0.00512813305944795,3.25532031580283,2.7518554754993,91,99
"Var113","DifferentiationDist","GeographicDist","LanguageDist",0.226897362936689,0.185585702322282,0.0765237319379056,-0.000432623733935565,4.53821516384699,1.26443978762055,96,100
"Var114","DynamicsDist","GeographicDist","LanguageDist",0.0726736355117586,-0.00277777664571865,0.0723334073859352,-0.00497214199857025,-0.201240212704492,-2.06861611193745,7,49
"Var115","OrnamentationDist","GeographicDist","LanguageDist",0.278965788618131,0.235754882446681,0.066058834563758,-0.0117695958892622,4.82621040709228,2.58495334639653,99,100
