"response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"MusicalDist","LanguageDist","GeographicDist",0.121076037905752,0.0240868522066715,0.212157979941545,0.037081975484111,-0.842023822791524,-1.40285039966953,0,25
"DifferentiationDist","LanguageDist","GeographicDist",0.375646824512429,0.318511714203654,0.193553859702533,0.0143436063030962,0.33849959104331,0.604501225313043,70,97
"DynamicsDist","LanguageDist","GeographicDist",0.191337810399971,-0.032864347110653,0.17131873690532,-0.0128326548934976,-0.731549768250867,-1.29772255131617,10,45
"OrnamentationDist","LanguageDist","GeographicDist",0.259313698882456,0.146711606638915,0.169704682367153,-0.0148053882179239,1.71810110457692,0.329338526633226,24,76
"RhythmDist","LanguageDist","GeographicDist",0.363306513850359,0.0857695515781716,0.173315204105468,-0.0103925283155395,1.58472933275787,-0.334707119290538,37,67
"TensionDist","LanguageDist","GeographicDist",0.223150965928384,0.0754337996868075,0.200723646868745,0.023106679506244,0.0489511309155879,-2.12802800838963,13,51
"MusicalDist","GeneticDist","GeographicDist",0.0230737411840697,-0.155584025116413,0.307268453439562,0.0474941234793979,-1.05603609822646,-2.52518573567492,0,12
"DifferentiationDist","GeneticDist","GeographicDist",0.138784905926982,-0.115735136536333,0.270622670167849,-0.00289382851920716,-1.46062568592434,-2.23070944302992,0,31
"DynamicsDist","GeneticDist","GeographicDist",0.225743180736377,0.0302121651727566,0.276064065304838,0.00458808979415188,-0.766239844121901,-1.47923414792174,2,56
"OrnamentationDist","GeneticDist","GeographicDist",0.0576334211301736,-0.223035569240269,0.265811867527647,-0.00950868214948475,-1.84647068361915,-1.58408294901014,0,19
"RhythmDist","GeneticDist","GeographicDist",0.124380206250033,-0.352262012355759,0.271962665090734,-0.00105133550024036,-3.63084150512588,-3.37732425417582,0,30
"TensionDist","GeneticDist","GeographicDist",0.232482468207828,0.0925415538657879,0.25227201656695,-0.0281259772204432,-1.1717235776152,-0.655995905737677,5,65
"MusicalDist","GeographicDist","LanguageDist",0.349344372896038,0.387427283806783,0.295019660328726,0.0306520329519979,-0.115899935935454,0.639337740456621,31,92
"DifferentiationDist","GeographicDist","LanguageDist",0.289827351067058,0.293053470900219,0.260742358708529,-0.0164792567757731,1.34148126921278,0.0437666891620671,18,74
"DynamicsDist","GeographicDist","LanguageDist",0.390685262186595,0.337150982306937,0.285655519121755,0.0177763387924125,1.0267298058176,0.836665402575614,40,90
"OrnamentationDist","GeographicDist","LanguageDist",0.425874624464958,0.457907089642919,0.25859303493048,-0.0194345769705905,1.83776635600889,1.85260062177867,64,97
"RhythmDist","GeographicDist","LanguageDist",0.0891146507920796,-0.146171162506758,0.303813080987673,0.0427429863580503,-1.94687393220293,-2.83148744005117,0,20
"TensionDist","GeographicDist","LanguageDist",0.474834421541873,0.504917627284163,0.265758027395844,-0.00958271233071424,0.861788625066951,3.559415593185,93,100
"MusicalDist","GeneticDist","LanguageDist",0.108932684532061,-0.215815413734182,0.194061391782016,0.0149639232891301,-0.0639567882098418,-4.65215844525865,0,26
"DifferentiationDist","GeneticDist","LanguageDist",0.121307721495718,-0.162057023610319,0.166147935080837,-0.0191525237900885,0.340190374775318,-2.30661552363959,1,39
"DynamicsDist","GeneticDist","LanguageDist",0.436053372026029,0.276927821393989,0.178001976826399,-0.00466425054551294,3.57995700854388,0.446027851692787,60,90
"OrnamentationDist","GeneticDist","LanguageDist",0.278678331136022,0.0319388291221422,0.163708676778332,-0.0221338394931502,0.963143491409837,-0.299966304935304,31,67
"RhythmDist","GeneticDist","LanguageDist",0.0741668755459706,-0.394019313924891,0.178164462847352,-0.00446565651990269,-1.99717218493491,-6.15121697696911,0,24
"TensionDist","GeneticDist","LanguageDist",0.310777666734837,0.0256090048399513,0.238788613743884,-0.0466656561021593,0.906825156408323,-2.30262897725409,21,61
"MusicalDist","GeographicDist","GeneticDist",0.279602017067652,0.24661382521198,0.258404187055914,-0.0196942427981184,1.03626445888908,-0.161408174082389,13,86
"DifferentiationDist","GeographicDist","GeneticDist",0.276865536841415,0.166669263654963,0.264364262946351,-0.0114991384487679,0.875094357343603,0.159938870378572,6,68
"DynamicsDist","GeographicDist","GeneticDist",0.161242756451046,0.037436664991411,0.269694522860346,-0.00417003106702428,-1.28369356701807,-1.17645538801696,0,43
"OrnamentationDist","GeographicDist","GeneticDist",0.234226557151295,0.101954203116836,0.286634263057208,0.0191221117036617,-0.663953703133871,-0.763182805022044,2,57
"RhythmDist","GeographicDist","GeneticDist",0.049800341691914,-0.309736228502968,0.299047386564687,0.0361901565264448,-4.13518190257544,-1.90276588698308,0,11
"TensionDist","GeographicDist","GeneticDist",0.373368409654393,0.369678799483622,0.250486945100611,-0.0305804504866597,1.04764302541131,0.19590134008541,50,95
"MusicalDist","LanguageDist","GeneticDist",0.137192625425357,-0.176957995005899,0.259622580471696,-0.018018951851418,-0.41814344648662,-1.54286522363045,0,33
"DifferentiationDist","LanguageDist","GeneticDist",0.345207825855523,0.145805619884413,0.268335058309107,-0.0060392948249785,1.86671033251452,-1.5253360521057,21,65
"DynamicsDist","LanguageDist","GeneticDist",0.172205495954076,-0.0858630082049467,0.295952056526895,0.0319340777244805,-2.27917377128654,-3.80068831514229,0,28
"OrnamentationDist","LanguageDist","GeneticDist",0.288710541574642,0.045733118475244,0.195434175974329,0.0166417706352913,1.16001784512722,-0.532206432658426,24,55
"RhythmDist","LanguageDist","GeneticDist",0.273778874046131,-0.119552815987171,0.189740645814276,0.0096830115507815,-0.0758382347349123,-2.77159056483277,21,42
"TensionDist","LanguageDist","GeneticDist",0.199980152567912,-0.12673757713957,0.197567995232551,0.0192497719508958,0.0967341654026876,-2.5965175450932,11,41
