"response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"MusicalDist","LanguageDist","GeographicDist",0.0575097081339023,-0.00468273406750619,0.0736650084172649,-0.00352957421462968,0.650244366255986,-1.12088030447824,3,45
"DifferentiationDist","LanguageDist","GeographicDist",0.0327303134820405,-0.0523827557485561,0.0695522315417272,-0.00798508249646225,-0.896671702102812,-3.28914032018116,0,34
"DynamicsDist","LanguageDist","GeographicDist",0.0121289616003794,-0.0641941719712756,0.084567921346563,0.00828191479210997,-1.6208158513529,-2.43790017789447,0,11
"OrnamentationDist","LanguageDist","GeographicDist",0.0622052795928941,-0.010240483221969,0.0670071619185745,-0.0107422412548777,-0.225585749685673,-1.78103635071887,3,41
"RhythmDist","LanguageDist","GeographicDist",0.020253032831209,-0.0661774025538214,0.0731379440187768,-0.00410056064632512,-0.393685563588949,-3.01442943477848,0,20
"TensionDist","LanguageDist","GeographicDist",0.043200621521147,-0.0353145323497911,0.0774758915791628,0.000598882544093038,-1.87056065854863,-3.6101003383439,0,26
"MusicalDist","GeneticDist","GeographicDist",0.0691039960033131,0.00901960614179764,0.0774241711079291,0.000542852033589835,0.94103700744111,-1.00497679820093,7,44
"DifferentiationDist","GeneticDist","GeographicDist",0.0684198405036499,-0.0102042238139266,0.0698853812538129,-0.00762417030836941,-0.966087713413911,-1.86801979092052,6,43
"DynamicsDist","GeneticDist","GeographicDist",0.0933537372588114,0.0317987447159621,0.0757275660990846,-0.00129513672599171,0.592658316724689,-0.372017776391176,14,62
"OrnamentationDist","GeneticDist","GeographicDist",0.139465921564129,0.0810675481985812,0.0702443406208396,-0.00723529766075707,2.5656866624935,0.49108876000617,42,88
"RhythmDist","GeneticDist","GeographicDist",0.0158027811416299,-0.0714367909142332,0.0834438354222949,0.00706415504081951,-0.630285324113735,-1.58166409635616,0,8
"TensionDist","GeneticDist","GeographicDist",0.0524711167567781,-0.0243584925258635,0.0860985332491845,0.00994007768661651,0.173295030199773,-1.82875155219126,0,24
"MusicalDist","GeographicDist","LanguageDist",0.238495206278296,0.191384888922254,0.0766246019442277,-0.000323347893753279,5.39819227230568,3.74679972087755,98,100
"DifferentiationDist","GeographicDist","LanguageDist",0.0730553438658858,-0.00869730616605691,0.0867463035788557,0.0106418288770937,-0.254745629399944,-1.94690240729325,0,34
"DynamicsDist","GeographicDist","LanguageDist",0.162719956698888,0.0989460727187752,0.0722031550876294,-0.0051132486550682,2.63623084168721,-0.314264190118826,65,92
"OrnamentationDist","GeographicDist","LanguageDist",0.135703431160475,0.069382514309577,0.0728094283843234,-0.00445645258364962,2.20481979352582,-0.0178159973805456,35,90
"RhythmDist","GeographicDist","LanguageDist",0.0549330350832739,-0.0286074001140846,0.0851346590413077,0.00889588062808336,-0.016855046312645,-2.03249194682569,0,28
"TensionDist","GeographicDist","LanguageDist",0.125964788466507,0.0543466485076818,0.0764205538258509,-0.00054440002199481,1.18945137180536,-0.518368540398134,35,77
"MusicalDist","GeneticDist","LanguageDist",0.163713487568496,0.1030064940834,0.107006208318895,-0.00947124276994457,1.40377798461387,-0.340563872785727,39,93
"DifferentiationDist","GeneticDist","LanguageDist",0.122272121991936,0.0494679770738211,0.114097069044301,-0.00145548716731136,0.708171576096258,-0.877992662338186,5,60
"DynamicsDist","GeneticDist","LanguageDist",0.115550917793651,0.0432008449216771,0.1130400811772,-0.00265034301707781,-1.2919485466002,-0.741586754287828,9,59
"OrnamentationDist","GeneticDist","LanguageDist",0.173950825440863,0.114583980277308,0.115756905428737,0.000420849615094392,2.14490343714041,-0.181718897477363,32,87
"RhythmDist","GeneticDist","LanguageDist",0.0452367077773626,-0.0400666960210705,0.120579371568132,0.00587233307701933,-3.00459847172851,-1.96756310804707,0,24
"TensionDist","GeneticDist","LanguageDist",0.0953510754889281,0.0181668058978162,0.12520255437274,0.0110985397257063,-1.34561410503865,-1.98113385058711,2,42
"MusicalDist","GeographicDist","GeneticDist",0.145829764960563,0.0921391891788188,0.115909873531547,0.000593770079140092,1.10821376061311,-2.52329284330058,22,86
"DifferentiationDist","GeographicDist","GeneticDist",0.0110752085708132,-0.0723275750744997,0.10714692978028,-0.00931216633533604,-1.16181770175387,-2.03817137562371,0,15
"DynamicsDist","GeographicDist","GeneticDist",0.134150835758507,0.0759956014239662,0.108219509669016,-0.00809968472198227,-0.925024359696678,-2.19791643643661,18,82
"OrnamentationDist","GeographicDist","GeneticDist",0.0843908151017122,0.0214028495309631,0.112189640673667,-0.00361171054281146,-0.283155622265637,-1.74034390555376,0,55
"RhythmDist","GeographicDist","GeneticDist",0.0261586232790695,-0.0602179619320069,0.109596130844941,-0.00654350426224048,-1.1061582394996,-3.43061485400015,0,24
"TensionDist","GeographicDist","GeneticDist",0.0616857079302751,-0.0143760187545749,0.108820606496192,-0.00742018396082658,-0.0487832830610582,-2.92649019684348,0,40
"MusicalDist","LanguageDist","GeneticDist",0.0594537583813524,-0.0099415458693396,0.124588997033383,0.0104049531681718,-0.221509329727582,-2.0266584095258,0,26
"DifferentiationDist","LanguageDist","GeneticDist",0.0246024596752546,-0.0563408237692508,0.118028469648722,0.00298870482029451,-3.93533146355021,-4.12423511301911,0,18
"DynamicsDist","LanguageDist","GeneticDist",0.00575702119483864,-0.0757425430603695,0.121932352094611,0.00740178932434316,-3.94918267338274,-3.51833008704494,0,8
"OrnamentationDist","LanguageDist","GeneticDist",0.0453775674108654,-0.0247037159218561,0.110276147660266,-0.00577478960143825,-0.908024843667276,-3.21801791457536,0,34
"RhythmDist","LanguageDist","GeneticDist",0.0209125476627373,-0.0664178694785813,0.120732070975936,0.00604494979888423,-0.777114755876078,-2.43676288110652,0,11
"TensionDist","LanguageDist","GeneticDist",0.0218014997170656,-0.0615119011883681,0.115064222285587,-0.000362183503249403,-0.269463163970662,-2.85683275955049,0,17
