"","response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var1","MusicalDist","GeographicDist",0.171804940164351,0.0743702272425103,0.103725142747117,-0.00171895810616342,1.51214221119239,-0.126229171188846,31,81
"Var11","DifferentiationDist","GeographicDist",0.0879205530525258,-0.0193829112942359,0.105379445265409,0.000129968237809627,0.553950309677379,-4.18566052642359,0,41
"Var12","DynamicsDist","GeographicDist",0.138751954303948,0.0374286548102953,0.102337622523848,-0.0032697160027577,-0.0130937768319738,0.277123380935648,24,70
"Var13","OrnamentationDist","GeographicDist",0.0955735136714499,-0.0108296023672032,0.111339196179419,0.0067908663181737,-0.0133914282414911,-1.69889017430362,1,29
"Var14","RhythmDist","GeographicDist",0.240435699725785,0.151075193811172,0.106258934166936,0.00111292642187009,2.03296414643541,0.947009794425792,68,96
"Var15","TensionDist","GeographicDist",0.15408085203385,0.0545609522731266,0.115738011408566,0.0117071892213384,1.64887920724243,-0.755200000504118,18,56
"Var16","MusicalDist","LanguageDist",0.299689936492768,0.112940586224173,0.217877477014223,0.00931147088468257,1.3701477385546,-2.05812589585653,32,84
"Var17","DifferentiationDist","LanguageDist",0.363942435872545,0.194327085438557,0.219852436414711,0.0118130861253006,2.95177112771138,-1.28654115920828,41,93
"Var18","DynamicsDist","LanguageDist",0.32260118808746,0.141961504910783,0.206380092449447,-0.00525188289736658,1.00672466748094,-1.68240852252164,35,88
"Var19","OrnamentationDist","LanguageDist",0.348146236108533,0.174318565737476,0.214011249416683,0.00441424926113145,3.30141361594807,-0.618904107429486,42,91
"Var110","RhythmDist","LanguageDist",0.306219234557848,0.121211030439941,0.214131655975698,0.00456676423588451,0.542965435143735,-1.23207420328165,29,73
"Var111","TensionDist","LanguageDist",0.25506730341842,0.0564185843299982,0.218994969790989,0.0107269617352527,-0.0304392870620899,-0.671883564603282,15,65
"Var112","MusicalDist","GeneticDist",0.291291658520495,0.158408844493088,0.158674449389861,0.000925908650460014,1.63584222224701,0.0803743331072671,44,90
"Var113","DifferentiationDist","GeneticDist",0.301579700255175,0.170625894053021,0.143040585730454,-0.0176393044450859,3.31766150667129,0.487180836710285,55,99
