"","response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var114","DynamicsDist","GeneticDist",0.236984479038454,0.0939190688581643,0.156423671175059,-0.00174689047961786,-0.59831177077391,-2.96977362078375,29,78
"Var115","OrnamentationDist","GeneticDist",0.220254512789323,0.0740522339373212,0.140506988039948,-0.0206479517025615,1.91588861279314,0.489795649693219,32,73
"Var116","RhythmDist","GeneticDist",0.273323507103418,0.137071664685309,0.15693913149851,-0.00113478134551908,1.79579609804262,0.53528813970413,41,88
"Var117","TensionDist","GeneticDist",0.250055457718606,0.109440856040845,0.153591722247302,-0.00510982983132905,1.89516204093575,0.818340556190804,32,82
"Var118","DifferentiationDist","MusicalDist",0.55951926323829,0.47692912509547,0.160890660425249,0.00355765925498329,6.55309427760547,3.92648151433734,99,100
"Var119","DynamicsDist","MusicalDist",0.431159856366455,0.324502329435166,0.161157987872486,0.00387511059857729,3.26553442852902,2.47174833482099,97,100
"Var120","OrnamentationDist","MusicalDist",0.746899873103367,0.699443599310248,0.158135548873534,0.00028596428732154,5.67625056179649,5.32097227918009,100,100
"Var121","RhythmDist","MusicalDist",0.47878995795096,0.381063075066765,0.152872136456819,-0.00596433795752769,6.16028205334637,3.26235862183418,100,100
"Var122","TensionDist","MusicalDist",0.63746940035417,0.569494912920577,0.163889810906518,0.00711915045148958,5.7579497896656,1.22658770049211,100,100
"Var123","MusicalDist","DifferentiationDist",0.509068291064568,0.417018595639174,0.146097128866186,-0.0140096594714043,3.18855569465142,4.64307783363861,100,100
"Var124","DynamicsDist","DifferentiationDist",0.161563931040718,0.00435716811085207,0.15448178463633,-0.00405288074435839,1.71989146384772,-1.52835558780152,5,56
"Var125","OrnamentationDist","DifferentiationDist",0.819168532429254,0.785262632259739,0.155850699670327,-0.0024272941414872,7.14186911213791,5.55924216498965,100,100
"Var126","RhythmDist","DifferentiationDist",0.315237471929829,0.186844497916672,0.158356828487589,0.000548733829011664,3.27795535986172,0.289176511553588,54,92
"Var127","TensionDist","DifferentiationDist",0.519048948588812,0.428870626449214,0.158797382669301,0.00107189191979528,5.30374310822543,2.94403066989759,98,99
"Var128","MusicalDist","DynamicsDist",0.523635475957662,0.434317127699723,0.164538958247281,0.00789001291864616,4.26666954240492,3.38893363892629,99,100
"Var129","DifferentiationDist","DynamicsDist",0.273484028594738,0.137262283956251,0.160383975530373,0.00295597094231837,1.02845039772746,-0.342661545391064,41,85
"Var130","OrnamentationDist","DynamicsDist",0.499687788917078,0.40587924933903,0.159672152585219,0.00211068119494712,3.9513883953185,0.291978692453608,93,98
"Var131","RhythmDist","DynamicsDist",0.221174323193819,0.0751445087926607,0.159310456228213,0.0016811667710035,0.832792499067541,-0.775454144703662,23,72
"Var132","TensionDist","DynamicsDist",0.549468694478229,0.464994074692897,0.151205561050318,-0.00794339625274706,5.5548406667466,3.48419291714201,99,100
"Var133","MusicalDist","OrnamentationDist",0.50757992072502,0.44964814669267,0.109212264640156,0.00441370753899799,6.1351808591816,5.33399322293488,100,100
"Var134","DifferentiationDist","OrnamentationDist",0.631305487598039,0.587929662609573,0.0999197966313611,-0.00597199200024351,8.54096037620186,7.879528820394,100,100
"Var135","DynamicsDist","OrnamentationDist",0.228182023824032,0.137379908979801,0.0984778099620522,-0.0075836241600593,0.672613398975951,-0.331182615308696,60,94
"Var136","RhythmDist","OrnamentationDist",0.232539310186792,0.142249817267591,0.107564038531364,0.00257157247623023,1.71420574258854,0.491758274971658,65,95
"Var137","TensionDist","OrnamentationDist",0.560604635126178,0.508911062788081,0.104784985484744,-0.00053442798763943,8.69079906471942,5.06718307032712,100,100
"Var138","MusicalDist","RhythmDist",0.523472602635307,0.434123715629427,0.157345675772003,-0.000652010020746472,5.84014283890138,3.65875730505204,99,100
"Var139","DifferentiationDist","RhythmDist",0.414111536764784,0.304257449908181,0.164899478837107,0.00831813111906439,3.82435999087325,1.6445798266967,92,98
"Var140","DynamicsDist","RhythmDist",0.197364002014348,0.0468697523920388,0.155515240505972,-0.00282565189915877,-0.74784086062832,-0.582971332067696,19,71
"Var141","OrnamentationDist","RhythmDist",0.449877124757336,0.346729085649336,0.163858103205801,0.00708149755688916,2.11163029672485,0.940572089380313,91,97
"Var142","TensionDist","RhythmDist",0.458655130379527,0.357152967325688,0.154876432122618,-0.0035842368543906,3.09119118510804,0.751344738916588,96,100
"Var143","MusicalDist","TensionDist",0.577218652765398,0.49794715015891,0.157931585504275,4.37577863270922e-05,5.57859428047563,3.56037202869428,99,100
"Var144","DifferentiationDist","TensionDist",0.535155560845611,0.447997228504163,0.146688619145755,-0.0133072647644154,3.98461076950811,4.14089176193999,100,100
"Var145","DynamicsDist","TensionDist",0.493778703743864,0.398862210695838,0.160504671239788,0.00309929709724877,4.21146342586631,2.74000765928257,98,100
"Var146","OrnamentationDist","TensionDist",0.650568105117247,0.58504962482673,0.167590937614579,0.0115142384173127,2.82535283034666,1.56485106187218,100,100
"Var147","RhythmDist","TensionDist",0.321202519820723,0.193927992287109,0.161126209595899,0.00383737389512999,3.33573846459362,-0.201714947123103,48,95
