"","variable","response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"1","Africa","All","Lan ctrl Geo","GeographicDist",0.126985424262563,0.00923157028751309,0.0999188312206928,-0.00597307098863751,1.24314296057385,-1.30536969411456,23,57
"2","Africa","Articulation","Lan ctrl Geo","GeographicDist",0.383522244171218,0.329671196642818,0.108010019383945,0.0030700216644089,2.54974241205134,1.91791294895725,98,99
"3","Africa","Dynamics","Lan ctrl Geo","GeographicDist",0.226223027997929,0.127590401389355,0.0979703835513654,-0.00815074779553282,1.57645287555967,0.653732167866413,50,89
"4","Africa","Ornamentation","Lan ctrl Geo","GeographicDist",0.354324360281079,0.277654719996268,0.100981052540711,-0.00478588245449922,4.80753844725414,3.29415549533216,96,99
"5","Africa","Rhythm","Lan ctrl Geo","GeographicDist",0.087813481730833,0,0.10215947088289,-0.00346882666029912,-0.583837478880557,-4.82374413144937,5,42
"6","Africa","Tension","Lan ctrl Geo","GeographicDist",0.219828707207192,0.130088010816019,0.107275276544863,0.00224883849131709,1.93737798684351,0.721044690457883,55,86
"7","Africa","All","Gen ctrl Geo","GeographicDist",0.0755058796305875,0,0.162062607100947,0.00494934593237463,-1.92250489165451,-0.615925784113075,0,32
"8","Africa","Articulation","Gen ctrl Geo","GeographicDist",0.229748478723549,0.172280255882998,0.15907232727175,0.00139838863520302,0.655593640030295,0.132198733013571,34,85
"9","Africa","Dynamics","Gen ctrl Geo","GeographicDist",0.100754906679415,0.0159796856823846,0.154207644528744,-0.00437842212211629,0.036780022687744,-1.48039320748312,0,43
"10","Africa","Ornamentation","Gen ctrl Geo","GeographicDist",0.100851904372,0.00130144485374462,0.141659940592629,-0.0192788205462531,0.784517311675991,-1.20309762282218,0,58
"11","Africa","Rhythm","Gen ctrl Geo","GeographicDist",0.104134314212038,0,0.152605416150622,-0.00628106832113663,-1.20586558892076,-1.52195638322175,0,45
"12","Africa","Tension","Gen ctrl Geo","GeographicDist",0.0888037341267706,0.00779525053780328,0.164143680949681,0.00742062112774644,-1.816446819596,-2.08057995802958,0,40
"13","Africa","All","Geo ctrl Lan","LanguageDist",0.188221944622364,0.129522460651516,0.122163360017927,0.018888461196507,0.616548879209752,0.169423996194526,34,76
"14","Africa","Articulation","Geo ctrl Lan","LanguageDist",0.272656606545079,0.253675041258729,0.105658996012972,0.000442407308615481,1.15138856510572,1.87394357149382,91,96
"15","Africa","Dynamics","Geo ctrl Lan","LanguageDist",0.190507995974939,0.13751154903934,0.106253161189861,0.0011064742710216,1.70818111384021,0.185862484600917,44,85
"16","Africa","Ornamentation","Geo ctrl Lan","LanguageDist",0.0999204931651994,0.0348208937418436,0.101818791267557,-0.00384958623037704,1.15400575942217,-0.00383158420640547,12,64
