"","input","explanatory","constraint","Statistic","P.value","r2","adj.r2","perm_adjr2z","perm_adjr2z_p"
"19","MusicalDist","GeneticDist","GeographicDist",0.09,0.23,0.167,0.028,-3.059,0.52
"20","MusicalDist","GeneticDist","LanguageDist",0.08,0.27,0.076,-0.102,-2.41,0.31
"21","MusicalDist","LanguageDist","GeographicDist",0.1,0.19,0.166,-0.042,-1.718,0.46
"22","MusicalDist","LanguageDist","GeneticDist",0.07,0.3,0.084,-0.147,-4.457,0.28
"23","MusicalDist","GeographicDist","GeneticDist",0.01,0.46,0.047,-0.056,-2.242,0.23
"24","MusicalDist","GeographicDist","LanguageDist",0.06,0.28,0.038,-0.081,-2.7,0.16
"25","DifferentiationDist","GeneticDist","GeographicDist",0.24,0.01,0.373,0.288,-0.25,0.98
"26","DifferentiationDist","GeneticDist","LanguageDist",0.16,0.05,0.12,-0.012,-2.08,0.4
"27","DifferentiationDist","LanguageDist","GeographicDist",0.17,0.05,0.315,0.147,-1.608,0.95
"28","DifferentiationDist","LanguageDist","GeneticDist",0.06,0.26,0.182,0.012,-1.534,0.52
"29","DifferentiationDist","GeographicDist","GeneticDist",-0.1,0.9,0.159,0.098,-0.272,0.6
"30","DifferentiationDist","GeographicDist","LanguageDist",0.03,0.33,0.039,-0.067,-2.717,0.29
"31","DynamicsDist","GeneticDist","GeographicDist",0.31,0.01,0.231,0.108,-2.05,0.81
"32","DynamicsDist","GeneticDist","LanguageDist",0.23,0.06,0.102,-0.053,-1.466,0.31
"33","DynamicsDist","LanguageDist","GeographicDist",0.12,0.17,0.247,0.064,0.735,0.8
"34","DynamicsDist","LanguageDist","GeneticDist",-0.03,0.53,0.188,-0.005,-1.831,0.51
"35","DynamicsDist","GeographicDist","GeneticDist",-0.19,0.98,0.133,0.051,-1.243,0.59
"36","DynamicsDist","GeographicDist","LanguageDist",0.01,0.42,0.063,-0.04,-4.684,0.31
"37","OrnamentationDist","GeneticDist","GeographicDist",-0.15,0.95,0.203,0.059,-1.899,0.62
"38","OrnamentationDist","GeneticDist","LanguageDist",-0.18,0.97,0.016,-0.181,-4.728,0.2
"39","OrnamentationDist","LanguageDist","GeographicDist",0.02,0.4,0.26,0.069,-0.839,0.72
"40","OrnamentationDist","LanguageDist","GeneticDist",0.11,0.14,0.144,-0.081,-2.277,0.41
"41","OrnamentationDist","GeographicDist","GeneticDist",0.07,0.21,0.078,-0.026,-1.637,0.33
"42","OrnamentationDist","GeographicDist","LanguageDist",-0.06,0.74,0.007,-0.116,-1.922,0.18
"43","RhythmDist","GeneticDist","GeographicDist",-0.01,0.52,0.054,-0.109,-3.167,0.2
"44","RhythmDist","GeneticDist","LanguageDist",0.14,0.2,0.062,-0.121,-6.547,0.24
"45","RhythmDist","LanguageDist","GeographicDist",0.01,0.49,0.098,-0.118,-3.45,0.38
"46","RhythmDist","LanguageDist","GeneticDist",0,0.48,0.095,-0.137,-3.024,0.39
"47","RhythmDist","GeographicDist","GeneticDist",0.18,0.06,0.021,-0.095,-2.369,0.13
"48","RhythmDist","GeographicDist","LanguageDist",0.23,0.03,0.032,-0.088,-2.363,0.2
"49","TensionDist","GeneticDist","GeographicDist",0.26,0.02,0.174,0.034,-0.923,0.58
"50","TensionDist","GeneticDist","LanguageDist",0.11,0.18,0.109,-0.064,-1.535,0.38
"51","TensionDist","LanguageDist","GeographicDist",0.19,0.08,0.151,-0.07,-2.128,0.39
"52","TensionDist","LanguageDist","GeneticDist",0.09,0.22,0.114,-0.117,-4.124,0.4
"53","TensionDist","GeographicDist","GeneticDist",-0.17,0.96,0.078,-0.021,-1.988,0.33
"54","TensionDist","GeographicDist","LanguageDist",-0.04,0.65,0.05,-0.071,-1.136,0.24
