"response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"MusicalDist","GeographicDist",0.676186735348205,0.604228232092251,0.212157979941545,0.037081975484111,3.14186319591924,2.0036707119056,94,100
"DifferentiationDist","GeographicDist",0.394260513341419,0.259651738528401,0.193553859702533,0.0143436063030962,0.534963875031667,0.0962001096142689,56,92
"DynamicsDist","GeographicDist",0.372208546255381,0.232699334312132,0.17131873690532,-0.0128326548934976,1.3419617912558,1.19317955645381,63,94
"OrnamentationDist","GeographicDist",0.462132441489039,0.342606317375492,0.169704682367153,-0.0148053882179239,3.4439481262436,1.69318895900357,82,94
"RhythmDist","GeographicDist",0.0504306337586592,-0.160584780961639,0.173315204105468,-0.0103925283155395,-0.750549243624623,-1.83915324292604,0,23
"TensionDist","GeographicDist",0.453984228975078,0.332647390969539,0.200723646868745,0.023106679506244,2.0766392387556,-0.279412888770955,67,93
"MusicalDist","LanguageDist",0.447918400357921,0.240887800492141,0.307268453439562,0.0474941234793979,1.69841079331786,-0.655735656064873,27,70
"DifferentiationDist","LanguageDist",0.480079986786789,0.285109981831835,0.270622670167849,-0.00289382851920716,1.262170692123,0.0950191716366315,45,89
"DynamicsDist","LanguageDist",0.172861094468757,-0.137315995105459,0.276064065304838,0.00458808979415188,-1.30657544595161,-2.72415036465004,0,38
"OrnamentationDist","LanguageDist",0.295571515906538,0.0314108343714891,0.265811867527647,-0.00950868214948475,-0.0664209138916418,-0.199682332056527,13,53
"RhythmDist","LanguageDist",0.324622496816938,0.07135593312329,0.271962665090734,-0.00105133550024036,-2.51318353233187,-1.65773482227357,11,54
"TensionDist","LanguageDist",0.202300773361589,-0.0968364366278158,0.25227201656695,-0.0281259772204432,-1.44643850431086,-1.90961454122968,3,45
"MusicalDist","GeneticDist",0.419658459464624,0.202030381763859,0.295019660328726,0.0306520329519979,0.518514230573263,-0.577213224690376,27,81
"DifferentiationDist","GeneticDist",0.256179882426985,-0.0227526616628957,0.260742358708529,-0.0164792567757731,1.06998147583104,-1.80948740161494,9,42
"DynamicsDist","GeneticDist",0.436708970540711,0.225474834493477,0.285655519121755,0.0177763387924125,1.45758475609348,0.07632651189379,35,81
"OrnamentationDist","GeneticDist",0.285539305467918,0.0176165450183867,0.25859303493048,-0.0194345769705905,0.589702497439125,-0.995179680134386,11,58
"RhythmDist","GeneticDist",0.125010498316778,-0.20311056481443,0.303813080987673,0.0427429863580503,-1.78476257912577,-3.01850372467397,0,22
"TensionDist","GeneticDist",0.313098287528513,0.0555101453517056,0.265758027395844,-0.00958271233071424,-1.01031492462066,-0.223794059609651,17,65
"DifferentiationDist","MusicalDist",0.609547028904326,0.522779701994176,0.194061391782016,0.0149639232891301,4.51218484131934,0.87182569906428,94,99
"DynamicsDist","MusicalDist",0.344112585000284,0.198359826111458,0.166147935080837,-0.0191525237900885,2.67145335077228,0.77885577181312,53,90
"OrnamentationDist","MusicalDist",0.439713897760047,0.315205875040057,0.178001976826399,-0.00466425054551294,3.61047273584997,0.7071116558366,69,91
"RhythmDist","MusicalDist",0.209941935081112,0.0343734762102483,0.163708676778332,-0.0221338394931502,0.374319760321006,-0.282902165594491,17,63
"TensionDist","MusicalDist",0.506370267349877,0.396674771205405,0.178164462847352,-0.00446565651990269,2.73070129431817,0.925567828861192,91,100
"MusicalDist","DifferentiationDist",0.741989274006809,0.645235251759363,0.238788613743884,-0.0466656561021593,4.30847811193797,1.25226513313695,97,99
"DynamicsDist","DifferentiationDist",0.344537324331739,0.0987388209561412,0.258404187055914,-0.0196942427981184,1.64000559074798,-1.16132053390478,22,76
"OrnamentationDist","DifferentiationDist",0.793052949084445,0.715447804991112,0.264364262946351,-0.0114991384487679,4.93699372958341,3.30056452079111,98,100
"RhythmDist","DifferentiationDist",0.329491708315357,0.0780510989336154,0.269694522860346,-0.00417003106702428,-0.296768470950269,-1.00319091112235,18,55
"TensionDist","DifferentiationDist",0.578151267216413,0.419957992422567,0.286634263057208,0.0191221117036617,2.2677816537934,1.20829086710376,69,97
"MusicalDist","DynamicsDist",0.489525499631568,0.298097561993406,0.299047386564687,0.0361901565264448,-1.19996787807855,1.04803973117353,35,80
