"response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"MusicalDist","LanguageDist","GeographicDist",0.126985424262563,0.00923157028751309,0.0999188312206928,-0.00597307098863751,1.24314296057385,-1.30536969411456,23,57
"DifferentiationDist","LanguageDist","GeographicDist",0.383522244171218,0.329671196642818,0.108010019383945,0.0030700216644089,2.54974241205134,1.91791294895725,98,99
"DynamicsDist","LanguageDist","GeographicDist",0.226223027997929,0.127590401389355,0.0979703835513654,-0.00815074779553282,1.57645287555967,0.653732167866413,50,89
"OrnamentationDist","LanguageDist","GeographicDist",0.354324360281079,0.277654719996268,0.100981052540711,-0.00478588245449922,4.80753844725414,3.29415549533216,96,99
"RhythmDist","LanguageDist","GeographicDist",0.087813481730833,-0.109573522136472,0.10215947088289,-0.00346882666029912,-0.583837478880557,-4.82374413144937,5,42
"TensionDist","LanguageDist","GeographicDist",0.219828707207192,0.130088010816019,0.107275276544863,0.00224883849131709,1.93737798684351,0.721044690457883,55,86
"MusicalDist","GeneticDist","GeographicDist",0.0755058796305875,-0.00584726699963434,0.162062607100947,0.00494934593237463,-1.92250489165451,-0.615925784113075,0,32
"DifferentiationDist","GeneticDist","GeographicDist",0.229748478723549,0.172280255882998,0.15907232727175,0.00139838863520302,0.655593640030295,0.132198733013571,34,85
"DynamicsDist","GeneticDist","GeographicDist",0.100754906679415,0.0159796856823846,0.154207644528744,-0.00437842212211629,0.036780022687744,-1.48039320748312,0,43
"OrnamentationDist","GeneticDist","GeographicDist",0.100851904372,0.00130144485374462,0.141659940592629,-0.0192788205462531,0.784517311675991,-1.20309762282218,0,58
"RhythmDist","GeneticDist","GeographicDist",0.104134314212038,-0.0104292225668161,0.152605416150622,-0.00628106832113663,-1.20586558892076,-1.52195638322175,0,45
"TensionDist","GeneticDist","GeographicDist",0.0888037341267706,0.00779525053780328,0.164143680949681,0.00742062112774644,-1.816446819596,-2.08057995802958,0,40
"MusicalDist","GeographicDist","LanguageDist",0.188221944622364,0.129522460651516,0.122163360017927,0.018888461196507,0.616548879209752,0.169423996194526,34,76
"DifferentiationDist","GeographicDist","LanguageDist",0.272656606545079,0.253675041258729,0.105658996012972,0.000442407308615481,1.15138856510572,1.87394357149382,91,96
"DynamicsDist","GeographicDist","LanguageDist",0.190507995974939,0.13751154903934,0.106253161189861,0.0011064742710216,1.70818111384021,0.185862484600917,44,85
"OrnamentationDist","GeographicDist","LanguageDist",0.0999204931651994,0.0348208937418436,0.101818791267557,-0.00384958623037704,1.15400575942217,-0.00383158420640547,12,64
"RhythmDist","GeographicDist","LanguageDist",0.0251719783636701,-0.117241860243385,0.099133124384429,-0.00685121392328527,-0.691957854670813,-3.09632847609293,0,24
"TensionDist","GeographicDist","LanguageDist",0.16146975652077,0.109859950324067,0.0979059912400791,-0.00822271567285279,0.92651355327345,1.60951669996808,42,89
"MusicalDist","GeneticDist","LanguageDist",0.16870471661344,0.103034794067977,0.152343480950641,-0.00659211637111417,-0.268020683644984,0.411050172337027,13,70
"DifferentiationDist","GeneticDist","LanguageDist",0.167825904517687,0.111404802792984,0.161725518708545,0.0045490534663974,0.698825245572782,-1.59418540365901,8,70
"DynamicsDist","GeneticDist","LanguageDist",0.128594801619227,0.0534864995565876,0.171047991914362,0.0156194903983048,0.46120298081829,-1.1460897006081,2,56
"OrnamentationDist","GeneticDist","LanguageDist",0.104241870835656,0.0406856205803199,0.148629196512408,-0.0110028291415158,-2.8997028867043,-0.7387327520884,0,64
"RhythmDist","GeneticDist","LanguageDist",0.201805485342602,0.122475042085165,0.155624428442511,-0.00269599122451763,1.08349712492383,0.0112371275989974,25,81
"TensionDist","GeneticDist","LanguageDist",0.210435976218479,0.176314105628101,0.101475874768701,-0.00423284584674621,0.461275891653409,0.64698594218819,70,96
"MusicalDist","GeographicDist","GeneticDist",0.104729948886094,0.0268149280506371,0.115253897732716,0.0111661209953886,-0.0833909037442007,-1.39099616157498,3,42
"DifferentiationDist","GeographicDist","GeneticDist",0.0147101189801698,-0.0680567344184257,0.110678289878197,0.00605220633445561,-0.558355928626414,-1.74410522221694,0,15
"DynamicsDist","GeographicDist","GeneticDist",0.0921652861085972,0.0063795215150001,0.11447696906698,0.010297788957213,0.228797397716251,-0.474663310048349,0,41
"OrnamentationDist","GeographicDist","GeneticDist",0.113959190288919,0.0159507644079488,0.104883252887091,-0.000424599714427678,-0.549548706787278,-1.44321081866787,10,46
"RhythmDist","GeographicDist","GeneticDist",0.0624992870814032,-0.0569624881834074,0.155497340190493,-0.00284690852379013,-0.793549603996488,-1.51400591817482,0,33
"TensionDist","GeographicDist","GeneticDist",0.0844134235242325,0.00288843280555462,0.151194856952621,-0.00795610736876302,-1.8235016190992,-2.26383308190588,0,39
"MusicalDist","LanguageDist","GeneticDist",0.136692265509146,0.015406098754246,0.155668983344566,-0.00264308227832794,-0.128808447194305,-1.06691088731123,3,54
