"response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"MusicalDist","GeographicDist",0.278601649908782,0.215871358596502,0.0761556344084528,-0.00417865825168175,3.65321763159039,2.15784358762024,97,99
"DifferentiationDist","GeographicDist",0.0579772525634761,-0.0239377689527434,0.0792287251542783,-0.000838342223610576,0.0795111319273222,-1.7974191839806,0,34
"DynamicsDist","GeographicDist",0.210253290613467,0.141579663710291,0.0843344052031315,0.00471131000340383,3.46543176651729,0.472205180298149,80,97
"OrnamentationDist","GeographicDist",0.148727041184957,0.0747033056358226,0.0817415305324692,0.00189296797007518,0.784986871143125,-0.183112740115994,34,81
"RhythmDist","GeographicDist",0.0881992669105468,0.0089122466418986,0.0815650528690038,0.00170114442283023,0.223330006434759,-0.395246448454876,9,53
"TensionDist","GeographicDist",0.106670748450869,0.0289899439683359,0.0739355010876185,-0.00659184664389296,2.38793936130504,-2.5448517899288,29,69
"MusicalDist","LanguageDist",0.0835828068614434,0.00389435528417759,0.0763716936008317,-0.00394381130344375,1.04111212965382,-4.19523558430452,6,45
"DifferentiationDist","LanguageDist",0.0340227240681886,-0.0499752999258818,0.0832744588425822,0.00355919439411109,-2.09784119319711,-1.37344617731633,0,18
"DynamicsDist","LanguageDist",0.0649042930564723,-0.0164083771125301,0.0763993643964475,-0.00391373435168754,0.586216283226348,-1.42795060209161,1,35
"OrnamentationDist","LanguageDist",0.0788676812107488,-0.00123078129266441,0.0845969825646534,0.0049967201789711,0.628396062009201,-1.65873585781434,2,39
"RhythmDist","LanguageDist",0.0493699874412764,-0.0332934919116561,0.0747460736287793,-0.00571078953393558,0.053459906215725,-1.65011319779934,0,29
"TensionDist","LanguageDist",0.0554072142297296,-0.0267312888807287,0.0848332089510623,0.00525348799028514,0.278616138432068,-2.36450132878508,0,30
"MusicalDist","GeneticDist",0.186385034103054,0.115635906633754,0.0785047881701154,-0.00162523024987458,1.69453669931731,0.887048477135217,65,93
"DifferentiationDist","GeneticDist",0.124136289350411,0.0479742275547946,0.0823736080677396,0.0025800087692822,-0.297692655863003,-0.737167743235583,29,71
"DynamicsDist","GeneticDist",0.189519310443906,0.119042728743376,0.0845817292556999,0.00498014049532603,0.0309975918476988,0.269315893317919,60,88
"OrnamentationDist","GeneticDist",0.22002425625446,0.152200278537456,0.0832517610081283,0.00353452283492205,0.044068369915861,1.2210464867714,74,96
"RhythmDist","GeneticDist",0.0704613569647144,-0.0103680902557453,0.0761252020546791,-0.00421173689708795,0.84841569125238,-0.968069713491381,7,43
"TensionDist","GeneticDist",0.114526489026203,0.037528792419786,0.0839947268230399,0.00434209437286948,0.457572720143581,0.26703490426817,17,70
"DifferentiationDist","MusicalDist",0.556375701716967,0.495881479223827,0.120063305819101,7.19384307965698e-05,5.99912880062742,3.03009662989998,100,100
"DynamicsDist","MusicalDist",0.349745426643575,0.261074348458608,0.12383536484321,0.00435836914001085,4.60307086416093,2.09556996038279,99,99
"OrnamentationDist","MusicalDist",0.616455244979617,0.564153687476838,0.13201527357161,0.0136537199677384,4.92802630970507,5.32687850947118,100,100
"RhythmDist","MusicalDist",0.541504258605402,0.478982112051593,0.120717808292908,0.000815691241940562,4.56324342352571,5.0553362372267,100,100
"TensionDist","MusicalDist",0.508658960574213,0.441657909743424,0.122501682133479,0.00284282060622602,8.41092838027858,5.50693343459699,100,100
"MusicalDist","DifferentiationDist",0.367905464277661,0.312940722040936,0.0847851632634324,0.00520126441677433,6.04701346169866,5.06836772139013,100,100
"DynamicsDist","DifferentiationDist",0.176686730782853,0.105094272590057,0.0741944191621851,-0.00631041395414665,3.23978468963927,-1.4744146474477,66,95
"OrnamentationDist","DifferentiationDist",0.574827856272333,0.537856365513405,0.0837640202038607,0.00409132630854425,9.50133550567922,8.62063072294144,100,100
"RhythmDist","DifferentiationDist",0.321875524455805,0.262908178756309,0.0849893919496477,0.00542325211918232,6.07054417946469,2.13876696289431,99,99
"TensionDist","DifferentiationDist",0.36690265708184,0.311850714219392,0.0780515504205564,-0.00211787997765607,6.29877544948468,5.1465866190609,100,100
"MusicalDist","DynamicsDist",0.358598736323852,0.27113492764074,0.115530818710171,-0.00507861510207855,5.45433744441473,0.867974807201761,97,100
"DifferentiationDist","DynamicsDist",0.193653666073296,0.0836973478105641,0.126675414722855,0.00758569854869851,1.1354004576514,-2.04375668518373,32,72
"OrnamentationDist","DynamicsDist",0.31416023938734,0.220636635667432,0.123755665780721,0.00426780202354612,2.05720689587235,2.12279436696576,78,96
"RhythmDist","DynamicsDist",0.117487599181458,-0.00285500093016133,0.11998082316066,-2.17918628859093e-05,0.152294627224138,-1.8780072736705,5,49
"TensionDist","DynamicsDist",0.361418935870748,0.274339699853123,0.12517123743758,0.0058764061790682,6.25830815250454,1.93394175485751,98,100
"MusicalDist","OrnamentationDist",0.5072818303448,0.440092989028182,0.129455766559428,0.0107451892720777,6.37494903637707,4.25491961970321,100,100
"DifferentiationDist","OrnamentationDist",0.488839336466202,0.419135609620684,0.122935412704417,0.00333569625501922,4.79205402721243,3.98348001677123,100,100
"DynamicsDist","OrnamentationDist",0.283160489669943,0.185409647352208,0.128643691721764,0.00982237695654993,3.616762824372,-0.203062128511643,76,95
"RhythmDist","OrnamentationDist",0.530693089364724,0.466696692459913,0.109775751762632,-0.0116184639061004,7.59305022873437,6.3932079913071,100,100
"TensionDist","OrnamentationDist",0.68041531437154,0.636835584513114,0.122501657737016,0.00284279288297244,10.5691626733446,8.5195586922562,100,100
"MusicalDist","RhythmDist",0.424333490079236,0.345833511453677,0.118557125964993,-0.00163962958523558,4.73558229050656,4.38551283673488,99,100
"DifferentiationDist","RhythmDist",0.377106315529069,0.29216626764667,0.116681184585453,-0.00377138115289445,2.59230173100098,-0.0816173448458674,94,100
"DynamicsDist","RhythmDist",0.135381610724526,0.0174791030960519,0.116292308514524,-0.00421328577895004,0.266920753426244,-2.00517681417361,13,56
"OrnamentationDist","RhythmDist",0.540232822898574,0.47753729874838,0.131673322813121,0.0132651395603648,5.33497149026727,3.34338525676932,100,100
"TensionDist","RhythmDist",0.485679485443829,0.415544869822533,0.119131173885832,-0.000987302402463904,6.98811400214371,3.85498887574035,100,100
"MusicalDist","TensionDist",0.502549794856399,0.407797374829047,0.167474951841139,0.0088987521918321,5.97355850788223,2.02392052462358,99,100
"DifferentiationDist","TensionDist",0.455402732785161,0.351669919982335,0.171608443390533,0.0138195754649207,3.69657157125575,2.84469269469968,96,100
"DynamicsDist","TensionDist",0.53842493279797,0.450505872378535,0.160038044110563,4.52906078134718e-05,5.04634046317927,4.2985507580065,100,100
"OrnamentationDist","TensionDist",0.789859445345995,0.749832673030946,0.153357425305885,-0.00790782701680308,7.35467863145023,6.94535065535923,100,100
"RhythmDist","TensionDist",0.561318546457696,0.477760174354401,0.142593358175063,-0.0207221926487347,5.2162833230438,4.52902514283736,100,100
