"explanatory","constraint","Statistic","P.value","input"
"Genes","Spatial","NaN",NA,"GeographicDist"
"Genes","Language","0.63","0","GeographicDist"
"Language","Spatial","NaN",NA,"GeographicDist"
"Language","Genes","-0.23","1","GeographicDist"
"Spatial","Genes","1","0","GeographicDist"
"Spatial","Language","1","0","GeographicDist"
"Genes","Spatial","0.63","0","LanguageDist"
"Genes","Language","NaN",NA,"LanguageDist"
"Language","Spatial","1","0","LanguageDist"
"Language","Genes","1","0","LanguageDist"
"Spatial","Genes","-0.23","1","LanguageDist"
"Spatial","Language","NaN",NA,"LanguageDist"
"Genes","Spatial","1","0","GeneticDist"
"Genes","Language","1","0","GeneticDist"
"Language","Spatial","0.63","0","GeneticDist"
"Language","Genes","NaN",NA,"GeneticDist"
"Spatial","Genes","NaN",NA,"GeneticDist"
"Spatial","Language","0.63","0","GeneticDist"
"Genes","Spatial","0.26","0","MusicalDist"
"Genes","Language","0.28","0","MusicalDist"
"Language","Spatial","0.18","0.01","MusicalDist"
"Language","Genes","0.01","0.44","MusicalDist"
"Spatial","Genes","0.04","0.25","MusicalDist"
"Spatial","Language","0.21","0","MusicalDist"
"Genes","Spatial","0.15","0.02","DifferentiationDist"
"Genes","Language","0.15","0.02","DifferentiationDist"
"Language","Spatial","0.11","0.07","DifferentiationDist"
"Language","Genes","0.02","0.38","DifferentiationDist"
"Spatial","Genes","0.03","0.32","DifferentiationDist"
"Spatial","Language","0.12","0.03","DifferentiationDist"
"Genes","Spatial","0.1","0.09","DynamicsDist"
"Genes","Language","0.19","0.01","DynamicsDist"
"Language","Spatial","-0.05","0.72","DynamicsDist"
"Language","Genes","-0.14","0.97","DynamicsDist"
"Spatial","Genes","-0.01","0.55","DynamicsDist"
"Spatial","Language","0.08","0.1","DynamicsDist"
"Genes","Spatial","-0.18","1","OrnamentationDist"
"Genes","Language","-0.04","0.74","OrnamentationDist"
"Language","Spatial","-0.07","0.86","OrnamentationDist"
"Language","Genes","0","0.46","OrnamentationDist"
"Spatial","Genes","0.22","0","OrnamentationDist"
"Spatial","Language","0.16","0.01","OrnamentationDist"
"Genes","Spatial","0.26","0","RhythmDist"
"Genes","Language","0.25","0","RhythmDist"
"Language","Spatial","0.21","0.01","RhythmDist"
"Language","Genes","0.05","0.28","RhythmDist"
"Spatial","Genes","0.03","0.35","RhythmDist"
"Spatial","Language","0.19","0.01","RhythmDist"
"Genes","Spatial","0","0.49","TensionDist"
"Genes","Language","0.02","0.34","TensionDist"
"Language","Spatial","0.07","0.14","TensionDist"
"Language","Genes","0.06","0.16","TensionDist"
"Spatial","Genes","0.09","0.05","TensionDist"
"Spatial","Language","0.1","0.05","TensionDist"
