"explanatory","constraint","Statistic","P.value","input"
"Genes","Spatial","NaN",NA,"GeographicDist"
"Genes","Language","0.66","0","GeographicDist"
"Language","Spatial","NaN",NA,"GeographicDist"
"Language","Genes","-0.21","1","GeographicDist"
"Spatial","Genes","1","0","GeographicDist"
"Spatial","Language","1","0","GeographicDist"
"Genes","Spatial","0.61","0","LanguageDist"
"Genes","Language","NaN",NA,"LanguageDist"
"Language","Spatial","1","0","LanguageDist"
"Language","Genes","1","0","LanguageDist"
"Spatial","Genes","-0.21","1","LanguageDist"
"Spatial","Language","NaN",NA,"LanguageDist"
"Genes","Spatial","1","0","GeneticDist"
"Genes","Language","1","0","GeneticDist"
"Language","Spatial","0.61","0","GeneticDist"
"Language","Genes","NaN",NA,"GeneticDist"
"Spatial","Genes","NaN",NA,"GeneticDist"
"Spatial","Language","0.66","0","GeneticDist"
"Genes","Spatial","0.15","0","MusicalDist"
"Genes","Language","0.1","0.02","MusicalDist"
"Language","Spatial","0.18","0","MusicalDist"
"Language","Genes","0.11","0.01","MusicalDist"
"Spatial","Genes","0.02","0.32","MusicalDist"
"Spatial","Language","0.1","0.01","MusicalDist"
"Genes","Spatial","0.16","0","DifferentiationDist"
"Genes","Language","0.14","0","DifferentiationDist"
"Language","Spatial","0.16","0","DifferentiationDist"
"Language","Genes","0.07","0.04","DifferentiationDist"
"Spatial","Genes","0.02","0.31","DifferentiationDist"
"Spatial","Language","0.12","0","DifferentiationDist"
"Genes","Spatial","0.05","0.16","DynamicsDist"
"Genes","Language","0.03","0.3","DynamicsDist"
"Language","Spatial","0.05","0.16","DynamicsDist"
"Language","Genes","0.02","0.3","DynamicsDist"
"Spatial","Genes","-0.02","0.66","DynamicsDist"
"Spatial","Language","0.01","0.43","DynamicsDist"
"Genes","Spatial","-0.09","0.98","OrnamentationDist"
"Genes","Language","-0.06","0.92","OrnamentationDist"
"Language","Spatial","0.02","0.26","OrnamentationDist"
"Language","Genes","0.07","0.04","OrnamentationDist"
"Spatial","Genes","0.12","0","OrnamentationDist"
"Spatial","Language","0.06","0.05","OrnamentationDist"
"Genes","Spatial","0.15","0","RhythmDist"
"Genes","Language","0.12","0.02","RhythmDist"
"Language","Spatial","0.14","0","RhythmDist"
"Language","Genes","0.06","0.09","RhythmDist"
"Spatial","Genes","0","0.49","RhythmDist"
"Spatial","Language","0.09","0.02","RhythmDist"
"Genes","Spatial","0","0.44","TensionDist"
"Genes","Language","-0.09","0.98","TensionDist"
"Language","Spatial","0.12","0","TensionDist"
"Language","Genes","0.15","0","TensionDist"
"Spatial","Genes","0","0.54","TensionDist"
"Spatial","Language","-0.04","0.84","TensionDist"
