"explanatory","constraint","Statistic","P.value","input"
"Genes","Spatial","NaN",NA,"GeographicDist"
"Genes","Language","0.66","0","GeographicDist"
"Language","Spatial","NaN",NA,"GeographicDist"
"Language","Genes","-0.21","1","GeographicDist"
"Spatial","Genes","1","0","GeographicDist"
"Spatial","Language","1","0","GeographicDist"
"Genes","Spatial","0.6","0","LanguageDist"
"Genes","Language","NaN",NA,"LanguageDist"
"Language","Spatial","1","0","LanguageDist"
"Language","Genes","1","0","LanguageDist"
"Spatial","Genes","-0.21","1","LanguageDist"
"Spatial","Language","NaN",NA,"LanguageDist"
"Genes","Spatial","1","0","GeneticDist"
"Genes","Language","1","0","GeneticDist"
"Language","Spatial","0.6","0","GeneticDist"
"Language","Genes","NaN",NA,"GeneticDist"
"Spatial","Genes","NaN",NA,"GeneticDist"
"Spatial","Language","0.66","0","GeneticDist"
"Genes","Spatial","0.15","0","MusicalDist"
"Genes","Language","0.13","0","MusicalDist"
"Language","Spatial","0.17","0","MusicalDist"
"Language","Genes","0.09","0.02","MusicalDist"
"Spatial","Genes","0.04","0.16","MusicalDist"
"Spatial","Language","0.13","0","MusicalDist"
"Genes","Spatial","0.13","0.01","DifferentiationDist"
"Genes","Language","0.14","0","DifferentiationDist"
"Language","Spatial","0.13","0","DifferentiationDist"
"Language","Genes","0.05","0.1","DifferentiationDist"
"Spatial","Genes","0.04","0.11","DifferentiationDist"
"Spatial","Language","0.13","0","DifferentiationDist"
"Genes","Spatial","0.07","0.1","DynamicsDist"
"Genes","Language","0.06","0.11","DynamicsDist"
"Language","Spatial","0.06","0.13","DynamicsDist"
"Language","Genes","0.02","0.39","DynamicsDist"
"Spatial","Genes","0","0.49","DynamicsDist"
"Spatial","Language","0.05","0.13","DynamicsDist"
"Genes","Spatial","-0.1","1","OrnamentationDist"
"Genes","Language","-0.04","0.79","OrnamentationDist"
"Language","Spatial","0.01","0.43","OrnamentationDist"
"Language","Genes","0.05","0.11","OrnamentationDist"
"Spatial","Genes","0.14","0","OrnamentationDist"
"Spatial","Language","0.09","0.01","OrnamentationDist"
"Genes","Spatial","0.16","0","RhythmDist"
"Genes","Language","0.17","0","RhythmDist"
"Language","Spatial","0.12","0.01","RhythmDist"
"Language","Genes","0.03","0.29","RhythmDist"
"Spatial","Genes","0.02","0.27","RhythmDist"
"Spatial","Language","0.14","0","RhythmDist"
"Genes","Spatial","0","0.48","TensionDist"
"Genes","Language","-0.06","0.92","TensionDist"
"Language","Spatial","0.1","0.01","TensionDist"
"Language","Genes","0.12","0","TensionDist"
"Spatial","Genes","0.02","0.25","TensionDist"
"Spatial","Language","0","0.5","TensionDist"
