"explanatory","constraint","Statistic","P.value","input"
"Genes","Spatial","NaN",NA,"GeographicDist"
"Genes","Language","0.5","0","GeographicDist"
"Language","Spatial","NaN",NA,"GeographicDist"
"Language","Genes","0.19","0.04","GeographicDist"
"Spatial","Genes","1","0","GeographicDist"
"Spatial","Language","1","0","GeographicDist"
"Genes","Spatial","0.12","0.18","LanguageDist"
"Genes","Language","NaN",NA,"LanguageDist"
"Language","Spatial","1","0","LanguageDist"
"Language","Genes","1","0","LanguageDist"
"Spatial","Genes","0.19","0.03","LanguageDist"
"Spatial","Language","NaN",NA,"LanguageDist"
"Genes","Spatial","1","0","GeneticDist"
"Genes","Language","1","0","GeneticDist"
"Language","Spatial","0.12","0.2","GeneticDist"
"Language","Genes","0","1","GeneticDist"
"Spatial","Genes","0","1","GeneticDist"
"Spatial","Language","0.5","0","GeneticDist"
"Genes","Spatial","-0.03","0.58","MusicalDist"
"Genes","Language","0.09","0.25","MusicalDist"
"Language","Spatial","-0.06","0.69","MusicalDist"
"Language","Genes","-0.01","0.55","MusicalDist"
"Spatial","Genes","0.19","0.02","MusicalDist"
"Spatial","Language","0.21","0.01","MusicalDist"
"Genes","Spatial","0.03","0.4","DifferentiationDist"
"Genes","Language","0.07","0.25","DifferentiationDist"
"Language","Spatial","-0.13","0.88","DifferentiationDist"
"Language","Genes","-0.12","0.88","DifferentiationDist"
"Spatial","Genes","0.02","0.4","DifferentiationDist"
"Spatial","Language","0.08","0.16","DifferentiationDist"
"Genes","Spatial","-0.21","0.96","DynamicsDist"
"Genes","Language","-0.1","0.73","DynamicsDist"
"Language","Spatial","-0.18","0.95","DynamicsDist"
"Language","Genes","-0.12","0.82","DynamicsDist"
"Spatial","Genes","0.18","0.02","DynamicsDist"
"Spatial","Language","0.13","0.07","DynamicsDist"
"Genes","Spatial","0.01","0.45","OrnamentationDist"
"Genes","Language","0.08","0.23","OrnamentationDist"
"Language","Spatial","-0.08","0.79","OrnamentationDist"
"Language","Genes","-0.07","0.72","OrnamentationDist"
"Spatial","Genes","0.08","0.18","OrnamentationDist"
"Spatial","Language","0.12","0.07","OrnamentationDist"
"Genes","Spatial","-0.03","0.56","RhythmDist"
"Genes","Language","-0.01","0.51","RhythmDist"
"Language","Spatial","-0.02","0.54","RhythmDist"
"Language","Genes","0","0.51","RhythmDist"
"Spatial","Genes","0.04","0.31","RhythmDist"
"Spatial","Language","0.03","0.36","RhythmDist"
"Genes","Spatial","-0.19","0.94","TensionDist"
"Genes","Language","-0.09","0.74","TensionDist"
"Language","Spatial","-0.11","0.82","TensionDist"
"Language","Genes","-0.06","0.67","TensionDist"
"Spatial","Genes","0.18","0.02","TensionDist"
"Spatial","Language","0.12","0.09","TensionDist"
