"explanatory","constraint","Statistic","P.value","input"
"Genes","Spatial","NaN",NA,"GeographicDist"
"Genes","Language","0.63","0","GeographicDist"
"Language","Spatial","NaN",NA,"GeographicDist"
"Language","Genes","-0.24","1","GeographicDist"
"Spatial","Genes","1","0","GeographicDist"
"Spatial","Language","1","0","GeographicDist"
"Genes","Spatial","0.65","0","LanguageDist"
"Genes","Language","NaN",NA,"LanguageDist"
"Language","Spatial","1","0","LanguageDist"
"Language","Genes","1","0","LanguageDist"
"Spatial","Genes","-0.24","1","LanguageDist"
"Spatial","Language","NaN",NA,"LanguageDist"
"Genes","Spatial","1","0","GeneticDist"
"Genes","Language","1","0","GeneticDist"
"Language","Spatial","0.65","0","GeneticDist"
"Language","Genes","NaN",NA,"GeneticDist"
"Spatial","Genes","NaN",NA,"GeneticDist"
"Spatial","Language","0.63","0","GeneticDist"
"Genes","Spatial","0.28","0","MusicalDist"
"Genes","Language","0.3","0","MusicalDist"
"Language","Spatial","0.18","0","MusicalDist"
"Language","Genes","-0.01","0.57","MusicalDist"
"Spatial","Genes","0.05","0.21","MusicalDist"
"Spatial","Language","0.23","0","MusicalDist"
"Genes","Spatial","0.17","0","DifferentiationDist"
"Genes","Language","0.18","0","DifferentiationDist"
"Language","Spatial","0.15","0.02","DifferentiationDist"
"Language","Genes","0.03","0.3","DifferentiationDist"
"Spatial","Genes","0.05","0.19","DifferentiationDist"
"Spatial","Language","0.16","0","DifferentiationDist"
"Genes","Spatial","0.12","0.07","DynamicsDist"
"Genes","Language","0.19","0.01","DynamicsDist"
"Language","Spatial","-0.03","0.64","DynamicsDist"
"Language","Genes","-0.13","0.97","DynamicsDist"
"Spatial","Genes","-0.02","0.61","DynamicsDist"
"Spatial","Language","0.08","0.14","DynamicsDist"
"Genes","Spatial","-0.15","1","OrnamentationDist"
"Genes","Language","-0.02","0.6","OrnamentationDist"
"Language","Spatial","-0.04","0.76","OrnamentationDist"
"Language","Genes","0.02","0.37","OrnamentationDist"
"Spatial","Genes","0.23","0","OrnamentationDist"
"Spatial","Language","0.18","0","OrnamentationDist"
"Genes","Spatial","0.27","0","RhythmDist"
"Genes","Language","0.25","0","RhythmDist"
"Language","Spatial","0.2","0.01","RhythmDist"
"Language","Genes","0.04","0.32","RhythmDist"
"Spatial","Genes","0.01","0.38","RhythmDist"
"Spatial","Language","0.17","0.01","RhythmDist"
"Genes","Spatial","0.01","0.44","TensionDist"
"Genes","Language","0.04","0.23","TensionDist"
"Language","Spatial","0.05","0.19","TensionDist"
"Language","Genes","0.04","0.26","TensionDist"
"Spatial","Genes","0.09","0.05","TensionDist"
"Spatial","Language","0.1","0.03","TensionDist"
