"explanatory","constraint","Statistic","P.value","input"
"Genes","Spatial","NaN",NA,"GeographicDist"
"Genes","Language","0.19","0.12","GeographicDist"
"Language","Spatial","NaN",NA,"GeographicDist"
"Language","Genes","-0.01","0.52","GeographicDist"
"Spatial","Genes","1","0","GeographicDist"
"Spatial","Language","1","0","GeographicDist"
"Genes","Spatial","0.55","0","LanguageDist"
"Genes","Language","0","1","LanguageDist"
"Language","Spatial","1","0","LanguageDist"
"Language","Genes","1","0","LanguageDist"
"Spatial","Genes","-0.01","0.52","LanguageDist"
"Spatial","Language","0","1","LanguageDist"
"Genes","Spatial","1","0","GeneticDist"
"Genes","Language","1","0","GeneticDist"
"Language","Spatial","0.55","0","GeneticDist"
"Language","Genes","0","1","GeneticDist"
"Spatial","Genes","0","1","GeneticDist"
"Spatial","Language","0.19","0.1","GeneticDist"
"Genes","Spatial","0.2","0.14","MusicalDist"
"Genes","Language","0.16","0.16","MusicalDist"
"Language","Spatial","0.15","0.1","MusicalDist"
"Language","Genes","0.05","0.32","MusicalDist"
"Spatial","Genes","0.15","0.14","MusicalDist"
"Spatial","Language","0.18","0.12","MusicalDist"
"Genes","Spatial","0.43","0","DifferentiationDist"
"Genes","Language","0.39","0","DifferentiationDist"
"Language","Spatial","0.21","0.03","DifferentiationDist"
"Language","Genes","-0.03","0.61","DifferentiationDist"
"Spatial","Genes","-0.01","0.49","DifferentiationDist"
"Spatial","Language","0.07","0.24","DifferentiationDist"
"Genes","Spatial","0.13","0.16","DynamicsDist"
"Genes","Language","0.07","0.32","DynamicsDist"
"Language","Spatial","0.16","0.05","DynamicsDist"
"Language","Genes","0.11","0.12","DynamicsDist"
"Spatial","Genes","0.11","0.16","DynamicsDist"
"Spatial","Language","0.12","0.11","DynamicsDist"
"Genes","Spatial","0.03","0.42","OrnamentationDist"
"Genes","Language","-0.13","0.84","OrnamentationDist"
"Language","Spatial","0.23","0.01","OrnamentationDist"
"Language","Genes","0.26","0","OrnamentationDist"
"Spatial","Genes","-0.03","0.62","OrnamentationDist"
"Spatial","Language","-0.06","0.68","OrnamentationDist"
"Genes","Spatial","0","0.51","RhythmDist"
"Genes","Language","-0.01","0.53","RhythmDist"
"Language","Spatial","0","0.48","RhythmDist"
"Language","Genes","0","0.49","RhythmDist"
"Spatial","Genes","-0.03","0.59","RhythmDist"
"Spatial","Language","-0.03","0.6","RhythmDist"
"Genes","Spatial","0.19","0.11","TensionDist"
"Genes","Language","-0.01","0.54","TensionDist"
"Language","Spatial","0.36","0","TensionDist"
"Language","Genes","0.31","0","TensionDist"
"Spatial","Genes","0","0.47","TensionDist"
"Spatial","Language","0","0.49","TensionDist"
