"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","differentiation","=~","line_37",1,0,NA,NA,1,1,0.157850928176386,0.62986973889852,0.62986973889852
"2","differentiation","=~","line_10",-1.54523030861359,0.0708135500559443,-21.8211106122037,0,-1.68402231634066,-1.40643830088651,-0.243916038460938,-0.791555412338298,-0.791555412338298
"3","differentiation","=~","line_23",0.607930883606531,0.0338119279229182,17.9797758055218,0,0.541660722629747,0.674201044583315,0.0959624542443816,0.333047183957734,0.333047183957734
"4","ornamentation","=~","line_23",1,0,NA,NA,1,1,0.234905591109757,0.815263075867111,0.815263075867111
"5","ornamentation","=~","line_29",0.68766074251031,0.0315148528667047,21.8202111055013,0,0.62589276591349,0.74942871910713,0.161535353202359,0.471419393836273,0.471419393836273
"6","ornamentation","=~","line_31",0.846450508183138,0.0367977617706469,23.002771566893,0,0.774328220400985,0.918572795965291,0.198835956969914,0.585236129316,0.585236129316
"7","dynamics","=~","line_25",1,0,NA,NA,1,1,0.207178166720523,0.924998996312565,0.924998996312565
"8","dynamics","=~","line_36",0.664557837932831,0.0477356769268247,13.9216175555979,0,0.570997630378615,0.758118045487047,0.137681874542678,0.606424370001514,0.606424370001514
"9","dynamics","=~","line_32",0.226145117832934,0.0203452498511065,11.115376782686,0,0.186269160868297,0.266021074797572,0.046852330925424,0.221582752914896,0.221582752914896
"10","line_37","~~","line_25",0.00379387155260782,0.00142416537674879,2.66392626484771,0.00772344899276645,0.00100255870615128,0.00658518439906436,0.00379387155260782,0.229023984627122,0.229023984627122
"11","line_10","~~","line_25",-0.0040859409906787,0.00209524422071838,-1.95010249892387,0.0511639034776386,-0.00819254420210241,2.06622207450033e-05,-0.0040859409906787,-0.254959445172556,-0.254959445172556
"12","line_37","~~","line_36",0.0105571333881074,0.0011157323571519,9.46206616706563,0,0.00837033815170367,0.0127439286245111,0.0105571333881074,0.300435675140725,0.300435675140725
"13","line_10","~~","line_36",-0.00351195506785362,0.00156541737522695,-2.24346242952904,0.0248670099944688,-0.00658011674407167,-0.000443793391635576,-0.00351195506785362,-0.103308276309549,-0.103308276309549
"14","line_37","~~","line_37",0.037887877992803,0.00131272311610118,28.8620483086569,0,0.0353149879635715,0.0404607680220345,0.037887877992803,0.60326411201991,0.60326411201991
"15","line_10","~~","line_10",0.0354600169204305,0.00267722047874023,13.2450865373315,0,0.0302127612034266,0.0407072726374344,0.0354600169204305,0.373440029197947,0.373440029197947
"16","line_23","~~","line_23",0.0163807056070418,0.00225561840432794,7.26217944294636,3.80806497446429e-13,0.0119597747716934,0.0208016364423903,0.0163807056070418,0.197306523269545,0.197306523269545
"17","line_29","~~","line_29",0.0913204371068065,0.00206253966304708,44.2757241196005,0,0.0872779336505488,0.0953629405630641,0.0913204371068065,0.777763755115041,0.777763755115041
"18","line_31","~~","line_31",0.0758966260080957,0.00215237879863841,35.2617420577213,0,0.0716780410816768,0.0801152109345146,0.0758966260080957,0.657498672943226,0.657498672943226
"19","line_25","~~","line_25",0.00724274226904411,0.00300043927422629,2.41389396921281,0.0157830546018654,0.00136198935376108,0.0131234951843271,0.00724274226904411,0.144376856820748,0.144376856820748
"20","line_36","~~","line_36",0.0325903280767104,0.00147023023072717,22.16681945153,0,0.0297087297755032,0.0354719263779177,0.0325903280767104,0.632249483468267,0.632249483468267
"21","line_32","~~","line_32",0.04251340001958,0.000844825969736737,50.3220799815469,0,0.0408575715456919,0.0441692284934682,0.04251340001958,0.950901083610656,0.950901083610656
"22","differentiation","~~","differentiation",0.0249169155261467,0.00144874901264032,17.1989180380776,0,0.0220774196387337,0.0277564114135597,1,1,1
"23","ornamentation","~~","ornamentation",0.0551806367346243,0.00262619834737748,21.0116028706391,0,0.0500333825575058,0.0603278909117427,1,1,1
"24","dynamics","~~","dynamics",0.0429227927656769,0.00315429541695414,13.6077275879011,0,0.036740487351847,0.0491050981795068,1,1,1
"25","differentiation","~~","ornamentation",0.00185175406366445,0.000912401134540713,2.02953941371039,0.0424033787619267,6.34807005111711e-05,0.00364002742681773,0.0499393416428849,0.0499393416428849,0.0499393416428849
"26","differentiation","~~","dynamics",-0.00658015390729462,0.00139567644889702,-4.71467001717684,2.42102780023679e-06,-0.00931562948120354,-0.00384467833338571,-0.201207852587393,-0.201207852587393,-0.201207852587393
"27","ornamentation","~~","dynamics",0.00927683944309986,0.00104996978971431,8.8353393916448,0,0.00721893647040472,0.011334742415795,0.190617469853066,0.190617469853066,0.190617469853066
