"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","differentiation","=~","line_37",1,0,NA,NA,1,1,0.182855876795662,0.685729549089046,0.685729549089046
"2","differentiation","=~","line_10",-1.30157438498284,0.105291132997066,-12.3616713766306,0,-1.50794121354851,-1.09520755641717,-0.238000525380812,-0.752419651494774,-0.752419651494774
"3","differentiation","=~","line_30",1.22943059372775,0.104065167120271,11.8140452540365,0,1.02546661412688,1.43339457332862,0.224808609175499,0.701428908223007,0.701428908223007
"4","differentiation","=~","line_23",0.656780175690427,0.0721047655344982,9.10869303605451,0,0.515457432129106,0.798102919251748,0.120096114887882,0.377775121297156,0.377775121297156
"5","ornamentation","=~","line_28",1,0,NA,NA,1,1,0.17879652489821,0.606196729176627,0.606196729176627
"6","ornamentation","=~","line_29",1.24204640847813,0.148755169859185,8.34960162832576,0,0.950491633039988,1.53360118391627,0.222073581598193,0.648295355514831,0.648295355514831
"7","ornamentation","=~","line_23",0.934003010502907,0.0923558428772667,10.113090643806,0,0.752988884701624,1.11501713630419,0.166996492522386,0.525305254693211,0.525305254693211
"8","ornamentation","=~","line_31",1.25421768717979,0.115273326691538,10.8803807713121,0,1.02828611848625,1.48014925587332,0.224249763933617,0.59855185192914,0.59855185192914
"9","rhythm","=~","line_11",1,0,NA,NA,1,1,0.141143561543654,0.618033618013674,0.618033618013674
"10","rhythm","=~","line_24",-1.04837903505308,0.0869379531847937,-12.0589339482685,0,-1.21877429218491,-0.877983777921259,-0.147971950855092,-0.712178457607655,-0.712178457607655
"11","rhythm","=~","line_17",1.03621022303369,0.100808069832738,10.2790404057233,0,0.838630036810526,1.23379040925686,0.14625440138692,0.525331678514432,0.525331678514432
"12","dynamics","=~","line_25",1,0,NA,NA,1,1,0.169014703058592,0.740410433993452,0.740410433993452
"13","dynamics","=~","line_36",1.06677473607706,0.126696941613318,8.41989334938234,0,0.818453293563584,1.31509617859054,0.180300615248473,0.769777763419217,0.769777763419217
"14","dynamics","=~","line_32",0.195757232190389,0.0590298250467069,3.31624279820408,0.000912365255738568,0.080060901085143,0.311453563295635,0.0330858504702305,0.14881894787662,0.14881894787662
"15","dynamics","=~","line_35",0.327460079279493,0.0626275455791861,5.22869092587149,1.70714478997525e-07,0.204712345504148,0.450207813054839,0.0553455680629666,0.208783265478158,0.208783265478158
"16","tension","=~","line_34",1,0,NA,NA,1,1,0.17794545775741,0.648629056632433,0.648629056632433
"17","tension","=~","line_35",0.426618351544191,0.0570244392363815,7.48132480138461,7.34967642301854e-14,0.31485250440229,0.538384198686091,0.0759147978532428,0.286377752521793,0.286377752521793
"18","tension","=~","line_33",-1.09214958416512,0.0897750605762572,-12.165400693185,0,-1.26810546960449,-0.916193698725756,-0.194343057693828,-0.804656356880039,-0.804656356880039
"19","tension","=~","line_29",-0.407762790247929,0.127451457392082,-3.19935761105908,0.00137734204981288,-0.65756305651355,-0.157962523982308,-0.0725595363671066,-0.21182173082711,-0.21182173082711
"20","differentiation","~~","ornamentation",0.00839320140307978,0.00203466894696517,4.12509436269656,3.70582786224372e-05,0.004405323546566,0.0123810792595936,0.256719967039935,0.256719967039935,0.256719967039935
"21","differentiation","~~","rhythm",-0.01068601525763,0.00167560501103533,-6.37740707819155,1.80111259240334e-10,-0.013970140731574,-0.00740188978368587,-0.414043332357839,-0.414043332357839,-0.414043332357839
"22","differentiation","~~","dynamics",-0.00465469100495914,0.00169523014560582,-2.74575756986418,0.00603713568594655,-0.00797728103585315,-0.00133210097406514,-0.15061126174798,-0.15061126174798,-0.15061126174798
"23","differentiation","~~","tension",0.0178721902187918,0.00230742360493316,7.74551763299203,9.54791801177635e-15,0.0133497230560452,0.0223946573815384,0.54926502881847,0.54926502881847,0.54926502881847
"24","ornamentation","~~","dynamics",0.00110279133129494,0.00165374617830326,0.666844371744156,0.50487154675428,-0.00213849161775021,0.00434407428034009,0.0364930181644281,0.0364930181644281,0.0364930181644281
"25","ornamentation","~~","rhythm",-0.0172122174668309,0.00205653732024004,-8.36951379264147,0,-0.0212429565473639,-0.0131814783862979,-0.68205073135922,-0.68205073135922,-0.68205073135922
"26","ornamentation","~~","tension",0.0194775498027864,0.00250210177671312,7.78447542944199,7.105427357601e-15,0.014573520434775,0.0243815791707978,0.612192977194196,0.612192977194196,0.612192977194196
