"","societies","scores","location"
"10495","10495","0.33568","africa"
"11155","11155","0.29639","africa"
"11215","11215","0.35592","africa"
"11342","11342","0.30263","africa"
"11529","11529","0.30951","africa"
"11672","11672","0.33952","africa"
"11793","11793","0.34387","africa"
"11870","11870","0.33584","africa"
"12783","12783","0.37717","africa"
"13388","13388","0.34788","africa"
"13806","13806","0.34716","africa"
"14598","14598","0.34324","africa"
"14675","14675","0.30353","africa"
"15027","15027","0.35766","africa"
"15390","15390","0.29825","africa"
"15544","15544","0.32496","africa"
"15577","15577","0.33913","africa"
"15687","15687","0.39385","africa"
"16402","16402","0.31629","africa"
"16688","16688","0.31062","africa"
"19262","19262","0.38837","africa"
"19614","19614","0.31172","africa"
"20098","20098","0.30298","africa"
"20131","20131","0.33739","africa"
"20241","20241","0.33522","africa"
"20252","20252","0.34159","africa"
"20615","20615","0.36201","africa"
"21044","21044","0.30682","africa"
"21132","21132","0.36363","africa"
"21242","21242","0.33715","africa"
"21737","21737","0.36973","africa"
"22276","22276","0.29434","africa"
"22870","22870","0.35675","africa"
"23464","23464","0.3729","africa"
"24707","24707","0.32006","africa"
"25411","25411","0.35834","africa"
"25444","25444","0.33431","africa"
"25466","25466","0.31325","africa"
"25917","25917","0.38664","africa"
"26522","26522","0.357","africa"
"26533","26533","0.35513","africa"
"27314","27314","0.36011","africa"
"27369","27369","0.33909","africa"
"27545","27545","0.31317","africa"
"28744","28744","0.33777","africa"
"29107","29107","0.37867","africa"
"29228","29228","0.35257","africa"
"48","overall_score","0.33969851797317","africa"
"10000","10000","0.296","oceania"
"10033","10033","0.2632","oceania"
"12205","12205","0.24583","oceania"
"13784","13784","0.33396","oceania"
"14037","14037","0.24528","oceania"
"14378","14378","0.34387","oceania"
"14999","14999","0.25975","oceania"
"15302","15302","0.25275","oceania"
"15401","15401","0.28768","oceania"
"15896","15896","0.32157","oceania"
"16611","16611","0.2404","oceania"
"16963","16963","0.30237","oceania"
"17865","17865","0.28792","oceania"
"17936","17936","0.23732","oceania"
"19097","19097","0.29519","oceania"
"20758","20758","0.3637","oceania"
"20813","20813","0.31636","oceania"
"20835","20835","0.23648","oceania"
"20879","20879","0.29879","oceania"
"21341","21341","0.31007","oceania"
"21825","21825","0.25087","oceania"
"23354","23354","0.23883","oceania"
"24795","24795","0.28214","oceania"
"27083","27083","0.31466","oceania"
"27930","27930","0.23599","oceania"
"28084","28084","0.25494","oceania"
"28326","28326","0.22926","oceania"
"28975","28975","0.2467","oceania"
"29","overall_score","0.278281488782741","oceania"
"10973","10973","0.42137","europe"
"11804","11804","0.34415","europe"
"13520","13520","0.25888","europe"
"13894","13894","0.31776","europe"
"14103","14103","0.35099","europe"
"14818","14818","0.23974","europe"
"15676","15676","0.32889","europe"
"16666","16666","0.23828","europe"
"16919","16919","0.32252","europe"
"19724","19724","0.26229","europe"
"21693","21693","0.34603","europe"
"22804","22804","0.34174","europe"
"23090","23090","0.38607","europe"
"25741","25741","0.34386","europe"
"26159","26159","0.36099","europe"
"27446","27446","0.33109","europe"
"17","overall_score","0.324665870005279","europe"
