"","societies","scores","location"
"10495","10495","0.33468","africa"
"11155","11155","0.34907","africa"
"11215","11215","0.33615","africa"
"11342","11342","0.34826","africa"
"11529","11529","0.34717","africa"
"11672","11672","0.32546","africa"
"11793","11793","0.33841","africa"
"11870","11870","0.30937","africa"
"12002","12002","0.35648","africa"
"12112","12112","0.31427","africa"
"12783","12783","0.36789","africa"
"13388","13388","0.36399","africa"
"13806","13806","0.37466","africa"
"14576","14576","0.35951","africa"
"14598","14598","0.35041","africa"
"14675","14675","0.35489","africa"
"15027","15027","0.35716","africa"
"15390","15390","0.34177","africa"
"15544","15544","0.31376","africa"
"15577","15577","0.30194","africa"
"15687","15687","0.34575","africa"
"16402","16402","0.33541","africa"
"16479","16479","0.37594","africa"
"16688","16688","0.32351","africa"
"19262","19262","0.291","africa"
"19614","19614","0.35348","africa"
"20098","20098","0.33384","africa"
"20131","20131","0.35965","africa"
"20230","20230","0.37093","africa"
"20241","20241","0.36472","africa"
"20252","20252","0.35414","africa"
"20615","20615","0.36082","africa"
"21044","21044","0.31552","africa"
"21132","21132","0.33446","africa"
"21242","21242","0.35382","africa"
"21737","21737","0.31338","africa"
"22276","22276","0.30701","africa"
"22870","22870","0.34868","africa"
"23464","23464","0.37224","africa"
"24707","24707","0.37495","africa"
"25411","25411","0.36046","africa"
"25444","25444","0.34647","africa"
"25466","25466","0.31646","africa"
"25917","25917","0.38469","africa"
"26522","26522","0.32365","africa"
"26533","26533","0.31229","africa"
"27314","27314","0.37536","africa"
"27369","27369","0.35586","africa"
"27545","27545","0.38637","africa"
"27781","27781","0.38378","africa"
"28744","28744","0.36152","africa"
"29107","29107","0.3512","africa"
"29228","29228","0.36717","africa"
"29360","29360","0.34005","africa"
"55","overall_score","0.346293257996401","africa"
"10000","10000","0.31459","oceania"
"10033","10033","0.3398","oceania"
"10140","10140","0.34316","oceania"
"10231","10231","0.33534","oceania"
"10962","10962","0.29831","oceania"
"12205","12205","0.36021","oceania"
"12816","12816","0.3545","oceania"
"12923","12923","0.30091","oceania"
"13784","13784","0.30242","oceania"
"14037","14037","0.33371","oceania"
"14378","14378","0.33631","oceania"
"14664","14664","0.37156","oceania"
"14999","14999","0.35866","oceania"
"15170","15170","0.36582","oceania"
"15302","15302","0.37078","oceania"
"15401","15401","0.30011","oceania"
"15896","15896","0.37276","oceania"
"15978","15978","0.33369","oceania"
"16170","16170","0.34206","oceania"
"16611","16611","0.32453","oceania"
"16963","16963","0.36559","oceania"
"17029","17029","0.3733","oceania"
"17265","17265","0.33229","oceania"
"17865","17865","0.33396","oceania"
"17936","17936","0.32628","oceania"
"19025","19025","0.33161","oceania"
"19097","19097","0.30968","oceania"
"19284","19284","0.34638","oceania"
"20758","20758","0.33017","oceania"
"20802","20802","0.31","oceania"
"20813","20813","0.32395","oceania"
"20832","20832","0.32414","oceania"
"20835","20835","0.33524","oceania"
"20879","20879","0.34271","oceania"
"20901","20901","0.34388","oceania"
"20923","20923","0.33173","oceania"
"21341","21341","0.30766","oceania"
"21825","21825","0.32443","oceania"
"23070","23070","0.37065","oceania"
"23354","23354","0.34338","oceania"
"23981","23981","0.32343","oceania"
"24795","24795","0.35548","oceania"
"26401","26401","0.3273","oceania"
"26632","26632","0.33428","oceania"
"27083","27083","0.34355","oceania"
"27286","27286","0.32316","oceania"
"27340","27340","0.35077","oceania"
"27930","27930","0.33189","oceania"
"28084","28084","0.31791","oceania"
"28326","28326","0.31015","oceania"
"28456","28456","0.34826","oceania"
"28914","28914","0.29437","oceania"
"28975","28975","0.30795","oceania"
"30032","30032","0.36296","oceania"
"30037","30037","0.37975","oceania"
"30040","30040","0.37319","oceania"
"30041","30041","0.39177","oceania"
"30176","30176","0.34523","oceania"
"59","overall_score","0.33771918366651","oceania"
"10374","10374","0.31284","europe"
"10858","10858","0.33054","europe"
"10902","10902","0.37095","europe"
"10973","10973","0.37678","europe"
"11760","11760","0.30121","europe"
"11804","11804","0.35115","europe"
"12409","12409","0.32867","europe"
"12607","12607","0.30749","europe"
"12761","12761","0.34603","europe"
"12948","12948","0.34944","europe"
"13520","13520","0.34609","europe"
"13894","13894","0.31216","europe"
"14103","14103","0.32649","europe"
"14147","14147","0.32118","europe"
"14752","14752","0.36381","europe"
"14818","14818","0.33783","europe"
"14851","14851","0.35944","europe"
"15313","15313","0.36877","europe"
"15522","15522","0.35834","europe"
"15676","15676","0.3542","europe"
"16363","16363","0.34671","europe"
"16666","16666","0.33741","europe"
"16919","16919","0.36301","europe"
"17271","17271","0.31347","europe"
"18624","18624","0.30927","europe"
"19724","19724","0.3672","europe"
"19922","19922","0.37004","europe"
"20087","20087","0.32559","europe"
"20318","20318","0.37285","europe"
"21693","21693","0.37274","europe"
"22188","22188","0.34981","europe"
"22804","22804","0.32428","europe"
"23090","23090","0.30699","europe"
"23662","23662","0.37822","europe"
"23915","23915","0.38707","europe"
"24472","24472","0.36338","europe"
"24597","24597","0.3642","europe"
"25741","25741","0.36167","europe"
"25752","25752","0.36557","europe"
"26027","26027","0.36627","europe"
"26049","26049","0.40171","europe"
"26071","26071","0.37307","europe"
"26075","26075","0.32584","europe"
"26159","26159","0.39519","europe"
"26654","26654","0.36174","europe"
"27446","27446","0.35799","europe"
"27908","27908","0.39577","europe"
"50266","50266","0.36232","europe"
"62297","62297","0.33526","europe"
"62416","62416","0.33498","europe"
"62553","62553","0.39711","europe"
"52","overall_score","0.351178692980342","europe"
