"id","africa","oceania","europe"
"all",0.3804037394495,0.399756836873307,0.36030417733356
"differentiation",0.300423321858201,0.267020142809166,0.31829617946737
"dynamics",0.309693165331691,0.340302495039411,0.34330660785464
"ornamentation",0.330342685360223,0.328957657037721,0.286503867110629
"rhythm",0.339527821957599,0.313623015737979,0.317705695450009
"tension",0.304418816847854,0.357791730447334,0.329764371867919
