"","societies","scores","location"
"10495","10495","0.34633","africa"
"11155","11155","0.32629","africa"
"11529","11529","0.27053","africa"
"11683","11683","0.32521","africa"
"15390","15390","0.31973","africa"
"15412","15412","0.30433","africa"
"15566","15566","0.3681","africa"
"16578","16578","0.26468","africa"
"16996","16996","0.34324","africa"
"18888","18888","0.40576","africa"
"19262","19262","0.27532","africa"
"20098","20098","0.32984","africa"
"20945","20945","0.3089","africa"
"20956","20956","0.34403","africa"
"20967","20967","0.34146","africa"
"21198","21198","0.34485","africa"
"25411","25411","0.36254","africa"
"26522","26522","0.29618","africa"
"27160","27160","0.35503","africa"
"28744","28744","0.36424","africa"
"30174","30174","0.24735","africa"
"62528","62528","0.33301","africa"
"23","overall_score","0.326225220518616","africa"
"10231","10231","0.35168","oceania"
"12816","12816","0.37214","oceania"
"14037","14037","0.36256","oceania"
"20835","20835","0.35656","oceania"
"20978","20978","0.35768","oceania"
"23200","23200","0.3496","oceania"
"23354","23354","0.38108","oceania"
"24795","24795","0.35099","oceania"
"27083","27083","0.38882","oceania"
"27479","27479","0.44656","oceania"
"27490","27490","0.33514","oceania"
"28975","28975","0.33081","oceania"
"30038","30038","0.39658","oceania"
"14","overall_score","0.367706965752412","oceania"
"10297","10297","0.39841","europe"
"10827","10827","0.33279","europe"
"24472","24472","0.38061","europe"
"24597","24597","0.37203","europe"
"50249","50249","0.41287","europe"
"50265","50265","0.36685","europe"
"50266","50266","0.40504","europe"
"50268","50268","0.46321","europe"
"50273","50273","0.35321","europe"
"10","overall_score","0.387223886232934","europe"
