"","societies","scores","location"
"10495","10495","0.29294","africa"
"11155","11155","0.3388","africa"
"11529","11529","0.35016","africa"
"11683","11683","0.28821","africa"
"15390","15390","0.35838","africa"
"15412","15412","0.36668","africa"
"15566","15566","0.33985","africa"
"16578","16578","0.30317","africa"
"16996","16996","0.38236","africa"
"18888","18888","0.35065","africa"
"19262","19262","0.37261","africa"
"20098","20098","0.3491","africa"
"20945","20945","0.39074","africa"
"20956","20956","0.37578","africa"
"20967","20967","0.39542","africa"
"21198","21198","0.38879","africa"
"25411","25411","0.32267","africa"
"26522","26522","0.37323","africa"
"27160","27160","0.38793","africa"
"28744","28744","0.36824","africa"
"30174","30174","0.3131","africa"
"62528","62528","0.30278","africa"
"23","overall_score","0.350526262648364","africa"
"10231","10231","0.37035","oceania"
"12816","12816","0.41992","oceania"
"14037","14037","0.35079","oceania"
"20835","20835","0.35717","oceania"
"20978","20978","0.41888","oceania"
"23200","23200","0.38298","oceania"
"23354","23354","0.43233","oceania"
"24795","24795","0.329","oceania"
"27083","27083","0.38775","oceania"
"27479","27479","0.36768","oceania"
"27490","27490","0.42735","oceania"
"28975","28975","0.37033","oceania"
"30038","30038","0.3256","oceania"
"14","overall_score","0.380010545670683","oceania"
"10297","10297","0.3691","europe"
"10827","10827","0.30737","europe"
"24472","24472","0.38915","europe"
"24597","24597","0.3134","europe"
"50249","50249","0.28343","europe"
"50265","50265","0.40219","europe"
"50266","50266","0.32382","europe"
"50268","50268","0.46232","europe"
"50273","50273","0.40955","europe"
"10","overall_score","0.36225800625638","europe"
