"","societies","scores","location"
"10495","10495","0.26854","africa"
"11155","11155","0.38089","africa"
"11215","11215","0.29476","africa"
"11342","11342","0.27197","africa"
"11529","11529","0.39572","africa"
"11672","11672","0.34188","africa"
"11793","11793","0.33445","africa"
"11870","11870","0.33222","africa"
"12002","12002","0.3327","africa"
"12112","12112","0.31738","africa"
"12783","12783","0.32906","africa"
"13388","13388","0.33932","africa"
"13806","13806","0.31978","africa"
"14576","14576","0.35505","africa"
"14598","14598","0.29807","africa"
"14675","14675","0.33006","africa"
"15027","15027","0.29739","africa"
"15390","15390","0.27493","africa"
"15544","15544","0.3148","africa"
"15577","15577","0.30053","africa"
"15687","15687","0.30935","africa"
"16402","16402","0.30982","africa"
"16479","16479","0.32589","africa"
"16688","16688","0.33564","africa"
"19262","19262","0.28208","africa"
"19614","19614","0.31847","africa"
"20098","20098","0.33457","africa"
"20131","20131","0.33693","africa"
"20230","20230","0.33968","africa"
"20241","20241","0.35025","africa"
"20252","20252","0.34565","africa"
"20615","20615","0.34861","africa"
"21044","21044","0.33144","africa"
"21132","21132","0.33959","africa"
"21242","21242","0.36682","africa"
"21737","21737","0.27325","africa"
"22276","22276","0.32675","africa"
"22870","22870","0.33501","africa"
"23464","23464","0.3338","africa"
"24707","24707","0.34264","africa"
"25411","25411","0.33631","africa"
"25444","25444","0.29019","africa"
"25466","25466","0.32559","africa"
"25917","25917","0.32714","africa"
"26522","26522","0.3579","africa"
"26533","26533","0.27153","africa"
"27314","27314","0.30372","africa"
"27369","27369","0.31997","africa"
"27545","27545","0.31272","africa"
"27781","27781","0.34591","africa"
"28744","28744","0.2923","africa"
"29107","29107","0.35388","africa"
"29228","29228","0.34015","africa"
"29360","29360","0.37635","africa"
"55","overall_score","0.325359721180059","africa"
"10000","10000","0.32534","oceania"
"10033","10033","0.34638","oceania"
"10140","10140","0.37387","oceania"
"10231","10231","0.3491","oceania"
"10962","10962","0.36572","oceania"
"12205","12205","0.36537","oceania"
"12816","12816","0.35828","oceania"
"12923","12923","0.3614","oceania"
"13784","13784","0.31211","oceania"
"14037","14037","0.34091","oceania"
"14378","14378","0.37325","oceania"
"14664","14664","0.32061","oceania"
"14999","14999","0.33476","oceania"
"15170","15170","0.33408","oceania"
"15302","15302","0.34829","oceania"
"15401","15401","0.37752","oceania"
"15896","15896","0.33442","oceania"
"15978","15978","0.33728","oceania"
"16170","16170","0.31197","oceania"
"16611","16611","0.34724","oceania"
"16963","16963","0.37372","oceania"
"17029","17029","0.36788","oceania"
"17265","17265","0.31797","oceania"
"17865","17865","0.36358","oceania"
"17936","17936","0.3559","oceania"
"19025","19025","0.3664","oceania"
"19097","19097","0.32992","oceania"
"19284","19284","0.31672","oceania"
"20758","20758","0.35271","oceania"
"20802","20802","0.33919","oceania"
"20813","20813","0.34608","oceania"
"20832","20832","0.34506","oceania"
"20835","20835","0.35615","oceania"
"20879","20879","0.37215","oceania"
"20901","20901","0.35014","oceania"
"20923","20923","0.36415","oceania"
"21341","21341","0.38371","oceania"
"21825","21825","0.32676","oceania"
"23070","23070","0.37005","oceania"
"23354","23354","0.36462","oceania"
"23981","23981","0.34313","oceania"
"24795","24795","0.36473","oceania"
"26401","26401","0.32461","oceania"
"26632","26632","0.41047","oceania"
"27083","27083","0.32953","oceania"
"27286","27286","0.3764","oceania"
"27340","27340","0.32713","oceania"
"27930","27930","0.31882","oceania"
"28084","28084","0.34835","oceania"
"28326","28326","0.35846","oceania"
"28456","28456","0.34982","oceania"
"28914","28914","0.36884","oceania"
"28975","28975","0.32632","oceania"
"30032","30032","0.39131","oceania"
"30037","30037","0.41283","oceania"
"30040","30040","0.37932","oceania"
"30041","30041","0.33402","oceania"
"30176","30176","0.34154","oceania"
"59","overall_score","0.351490044011621","oceania"
"10374","10374","0.30859","europe"
"10858","10858","0.31224","europe"
"10902","10902","0.33786","europe"
"10973","10973","0.33675","europe"
"11760","11760","0.32467","europe"
"11804","11804","0.34123","europe"
"12409","12409","0.33698","europe"
"12607","12607","0.33982","europe"
"12761","12761","0.34271","europe"
"12948","12948","0.34211","europe"
"13520","13520","0.34247","europe"
"13894","13894","0.30291","europe"
"14103","14103","0.31067","europe"
"14147","14147","0.31071","europe"
"14752","14752","0.35124","europe"
"14818","14818","0.33633","europe"
"14851","14851","0.34215","europe"
"15313","15313","0.31213","europe"
"15522","15522","0.33925","europe"
"15676","15676","0.3316","europe"
"16363","16363","0.34244","europe"
"16666","16666","0.33025","europe"
"16919","16919","0.33029","europe"
"17271","17271","0.32606","europe"
"18624","18624","0.30961","europe"
"19724","19724","0.33917","europe"
"19922","19922","0.34532","europe"
"20087","20087","0.3453","europe"
"20318","20318","0.32112","europe"
"21693","21693","0.34138","europe"
"22188","22188","0.35106","europe"
"22804","22804","0.30003","europe"
"23090","23090","0.30482","europe"
"23662","23662","0.32898","europe"
"23915","23915","0.33306","europe"
"24472","24472","0.33671","europe"
"24597","24597","0.30993","europe"
"25741","25741","0.35156","europe"
"25752","25752","0.34129","europe"
"26027","26027","0.34026","europe"
"26049","26049","0.35625","europe"
"26071","26071","0.32216","europe"
"26075","26075","0.34714","europe"
"26159","26159","0.35228","europe"
"26654","26654","0.32924","europe"
"27446","27446","0.3413","europe"
"27908","27908","0.3437","europe"
"50266","50266","0.31321","europe"
"62297","62297","0.31173","europe"
"62416","62416","0.31107","europe"
"62553","62553","0.35362","europe"
"52","overall_score","0.331622899713446","europe"
