"","societies","scores","location"
"10495","10495","0.35471","africa"
"11155","11155","0.37358","africa"
"11215","11215","0.33333","africa"
"11342","11342","0.35282","africa"
"11529","11529","0.37622","africa"
"11672","11672","0.4161","africa"
"11793","11793","0.41607","africa"
"11870","11870","0.39437","africa"
"12002","12002","0.36914","africa"
"12112","12112","0.39738","africa"
"12783","12783","0.36064","africa"
"13388","13388","0.41482","africa"
"13806","13806","0.39584","africa"
"14576","14576","0.37476","africa"
"14598","14598","0.40575","africa"
"14675","14675","0.38209","africa"
"15027","15027","0.36041","africa"
"15390","15390","0.36683","africa"
"15544","15544","0.41201","africa"
"15577","15577","0.40026","africa"
"15687","15687","0.4007","africa"
"16402","16402","0.38167","africa"
"16479","16479","0.39494","africa"
"16688","16688","0.40203","africa"
"19262","19262","0.33977","africa"
"19614","19614","0.39561","africa"
"20098","20098","0.40746","africa"
"20131","20131","0.37391","africa"
"20230","20230","0.36202","africa"
"20241","20241","0.37852","africa"
"20252","20252","0.37985","africa"
"20615","20615","0.37499","africa"
"21044","21044","0.34261","africa"
"21132","21132","0.34877","africa"
"21242","21242","0.40231","africa"
"21737","21737","0.35422","africa"
"22276","22276","0.41045","africa"
"22870","22870","0.37306","africa"
"23464","23464","0.39291","africa"
"24707","24707","0.39673","africa"
"25411","25411","0.3714","africa"
"25444","25444","0.36523","africa"
"25466","25466","0.37768","africa"
"25917","25917","0.393","africa"
"26522","26522","0.37924","africa"
"26533","26533","0.41988","africa"
"27314","27314","0.34688","africa"
"27369","27369","0.40792","africa"
"27545","27545","0.33955","africa"
"27781","27781","0.3468","africa"
"28744","28744","0.37562","africa"
"29107","29107","0.39241","africa"
"29228","29228","0.35487","africa"
"29360","29360","0.40166","africa"
"55","overall_score","0.3804037394495","africa"
"10000","10000","0.42206","oceania"
"10033","10033","0.43938","oceania"
"10140","10140","0.39121","oceania"
"10231","10231","0.40098","oceania"
"10962","10962","0.41512","oceania"
"12205","12205","0.39895","oceania"
"12816","12816","0.40532","oceania"
"12923","12923","0.39919","oceania"
"13784","13784","0.39353","oceania"
"14037","14037","0.36558","oceania"
"14378","14378","0.41671","oceania"
"14664","14664","0.39332","oceania"
"14999","14999","0.38623","oceania"
"15170","15170","0.37729","oceania"
"15302","15302","0.36632","oceania"
"15401","15401","0.38315","oceania"
"15896","15896","0.4225","oceania"
"15978","15978","0.40318","oceania"
"16170","16170","0.38934","oceania"
"16611","16611","0.41821","oceania"
"16963","16963","0.41084","oceania"
"17029","17029","0.35562","oceania"
"17265","17265","0.41876","oceania"
"17865","17865","0.41195","oceania"
"17936","17936","0.38407","oceania"
"19025","19025","0.41053","oceania"
"19097","19097","0.39199","oceania"
"19284","19284","0.40341","oceania"
"20758","20758","0.41612","oceania"
"20802","20802","0.39964","oceania"
"20813","20813","0.35911","oceania"
"20832","20832","0.42317","oceania"
"20835","20835","0.36975","oceania"
"20879","20879","0.40788","oceania"
"20901","20901","0.42057","oceania"
"20923","20923","0.42963","oceania"
"21341","21341","0.39862","oceania"
"21825","21825","0.41508","oceania"
"23070","23070","0.38948","oceania"
"23354","23354","0.37306","oceania"
"23981","23981","0.40235","oceania"
"24795","24795","0.42311","oceania"
"26401","26401","0.35955","oceania"
"26632","26632","0.38192","oceania"
"27083","27083","0.40297","oceania"
"27286","27286","0.4247","oceania"
"27340","27340","0.38404","oceania"
"27930","27930","0.36381","oceania"
"28084","28084","0.37697","oceania"
"28326","28326","0.42335","oceania"
"28456","28456","0.42972","oceania"
"28914","28914","0.38434","oceania"
"28975","28975","0.41499","oceania"
"30032","30032","0.42173","oceania"
"30037","30037","0.41505","oceania"
"30040","30040","0.37927","oceania"
"30041","30041","0.40437","oceania"
"30176","30176","0.41682","oceania"
"59","overall_score","0.399756836873307","oceania"
"10374","10374","0.34217","europe"
"10858","10858","0.34891","europe"
"10902","10902","0.3961","europe"
"10973","10973","0.38352","europe"
"11760","11760","0.38894","europe"
"11804","11804","0.37589","europe"
"12409","12409","0.38626","europe"
"12607","12607","0.33983","europe"
"12761","12761","0.31249","europe"
"12948","12948","0.37945","europe"
"13520","13520","0.35861","europe"
"13894","13894","0.36785","europe"
"14103","14103","0.34787","europe"
"14147","14147","0.36697","europe"
"14752","14752","0.36813","europe"
"14818","14818","0.38411","europe"
"14851","14851","0.37915","europe"
"15313","15313","0.34893","europe"
"15522","15522","0.32069","europe"
"15676","15676","0.3614","europe"
"16363","16363","0.42906","europe"
"16666","16666","0.39015","europe"
"16919","16919","0.35008","europe"
"17271","17271","0.34522","europe"
"18624","18624","0.40441","europe"
"19724","19724","0.38819","europe"
"19922","19922","0.32962","europe"
"20087","20087","0.34185","europe"
"20318","20318","0.39693","europe"
"21693","21693","0.38736","europe"
"22188","22188","0.35205","europe"
"22804","22804","0.3644","europe"
"23090","23090","0.3439","europe"
"23662","23662","0.35795","europe"
"23915","23915","0.38481","europe"
"24472","24472","0.32607","europe"
"24597","24597","0.30669","europe"
"25741","25741","0.34141","europe"
"25752","25752","0.37828","europe"
"26027","26027","0.36663","europe"
"26049","26049","0.37196","europe"
"26071","26071","0.36897","europe"
"26075","26075","0.36896","europe"
"26159","26159","0.37587","europe"
"26654","26654","0.35524","europe"
"27446","27446","0.36846","europe"
"27908","27908","0.31811","europe"
"50266","50266","0.29819","europe"
"62297","62297","0.35418","europe"
"62416","62416","0.34189","europe"
"62553","62553","0.31133","europe"
"52","overall_score","0.36030417733356","europe"
