"","societies","scores","location"
"10495","10495","0.25254","africa"
"11155","11155","0.38415","africa"
"11215","11215","0.27584","africa"
"11342","11342","0.25858","africa"
"11529","11529","0.38868","africa"
"11672","11672","0.34711","africa"
"11793","11793","0.32183","africa"
"11870","11870","0.31997","africa"
"12783","12783","0.31748","africa"
"13388","13388","0.32709","africa"
"13806","13806","0.31318","africa"
"14598","14598","0.27969","africa"
"14675","14675","0.31593","africa"
"15027","15027","0.28884","africa"
"15390","15390","0.25948","africa"
"15544","15544","0.30309","africa"
"15577","15577","0.28831","africa"
"15687","15687","0.29572","africa"
"16402","16402","0.29797","africa"
"16688","16688","0.32328","africa"
"19262","19262","0.26748","africa"
"19614","19614","0.32522","africa"
"20098","20098","0.33503","africa"
"20131","20131","0.33222","africa"
"20241","20241","0.34845","africa"
"20252","20252","0.34107","africa"
"20615","20615","0.33299","africa"
"21044","21044","0.32533","africa"
"21132","21132","0.33243","africa"
"21242","21242","0.35646","africa"
"21737","21737","0.25665","africa"
"22276","22276","0.32131","africa"
"22870","22870","0.34146","africa"
"23464","23464","0.32842","africa"
"24707","24707","0.33216","africa"
"25411","25411","0.32912","africa"
"25444","25444","0.2694","africa"
"25466","25466","0.32126","africa"
"25917","25917","0.32035","africa"
"26522","26522","0.34883","africa"
"26533","26533","0.25787","africa"
"27314","27314","0.29294","africa"
"27369","27369","0.31483","africa"
"27545","27545","0.31709","africa"
"28744","28744","0.27616","africa"
"29107","29107","0.34944","africa"
"29228","29228","0.33957","africa"
"48","overall_score","0.314304280679068","africa"
"10000","10000","0.30552","oceania"
"10033","10033","0.36246","oceania"
"12205","12205","0.34771","oceania"
"13784","13784","0.29345","oceania"
"14037","14037","0.37513","oceania"
"14378","14378","0.36978","oceania"
"14999","14999","0.30718","oceania"
"15302","15302","0.34366","oceania"
"15401","15401","0.39765","oceania"
"15896","15896","0.28589","oceania"
"16611","16611","0.32944","oceania"
"16963","16963","0.36253","oceania"
"17865","17865","0.34607","oceania"
"17936","17936","0.30937","oceania"
"19097","19097","0.30039","oceania"
"20758","20758","0.33015","oceania"
"20813","20813","0.30002","oceania"
"20835","20835","0.30649","oceania"
"20879","20879","0.40363","oceania"
"21341","21341","0.37309","oceania"
"21825","21825","0.30709","oceania"
"23354","23354","0.33763","oceania"
"24795","24795","0.35031","oceania"
"27083","27083","0.34672","oceania"
"27930","27930","0.27813","oceania"
"28084","28084","0.33143","oceania"
"28326","28326","0.32557","oceania"
"28975","28975","0.27406","oceania"
"29","overall_score","0.332161220379192","oceania"
"10973","10973","0.33479","europe"
"11804","11804","0.36403","europe"
"13520","13520","0.35278","europe"
"13894","13894","0.32739","europe"
"14103","14103","0.33638","europe"
"14818","14818","0.35117","europe"
"15676","15676","0.3678","europe"
"16666","16666","0.37937","europe"
"16919","16919","0.36889","europe"
"19724","19724","0.36512","europe"
"21693","21693","0.35248","europe"
"22804","22804","0.32412","europe"
"23090","23090","0.32598","europe"
"25741","25741","0.35935","europe"
"26159","26159","0.3343","europe"
"27446","27446","0.33402","europe"
"17","overall_score","0.348624500749058","europe"
