"","societies","scores","location"
"10495","10495","0.31672","africa"
"11155","11155","0.34705","africa"
"11215","11215","0.33829","africa"
"11342","11342","0.34185","africa"
"11529","11529","0.34954","africa"
"11672","11672","0.31927","africa"
"11793","11793","0.32972","africa"
"11870","11870","0.29995","africa"
"12783","12783","0.35885","africa"
"13388","13388","0.35978","africa"
"13806","13806","0.39314","africa"
"14598","14598","0.35348","africa"
"14675","14675","0.33944","africa"
"15027","15027","0.35863","africa"
"15390","15390","0.34074","africa"
"15544","15544","0.31405","africa"
"15577","15577","0.29634","africa"
"15687","15687","0.33215","africa"
"16402","16402","0.34451","africa"
"16688","16688","0.32652","africa"
"19262","19262","0.28888","africa"
"19614","19614","0.3505","africa"
"20098","20098","0.33862","africa"
"20131","20131","0.35174","africa"
"20241","20241","0.35755","africa"
"20252","20252","0.35379","africa"
"20615","20615","0.35502","africa"
"21044","21044","0.31063","africa"
"21132","21132","0.32018","africa"
"21242","21242","0.35292","africa"
"21737","21737","0.30714","africa"
"22276","22276","0.29774","africa"
"22870","22870","0.33919","africa"
"23464","23464","0.37008","africa"
"24707","24707","0.3701","africa"
"25411","25411","0.3579","africa"
"25444","25444","0.33171","africa"
"25466","25466","0.30718","africa"
"25917","25917","0.37864","africa"
"26522","26522","0.3141","africa"
"26533","26533","0.29865","africa"
"27314","27314","0.37812","africa"
"27369","27369","0.34929","africa"
"27545","27545","0.38821","africa"
"28744","28744","0.3456","africa"
"29107","29107","0.34375","africa"
"29228","29228","0.36004","africa"
"48","overall_score","0.33994268887583","africa"
"10000","10000","0.28959","oceania"
"10033","10033","0.30277","oceania"
"12205","12205","0.36014","oceania"
"13784","13784","0.28552","oceania"
"14037","14037","0.33528","oceania"
"14378","14378","0.33122","oceania"
"14999","14999","0.35621","oceania"
"15302","15302","0.36175","oceania"
"15401","15401","0.28819","oceania"
"15896","15896","0.38093","oceania"
"16611","16611","0.32813","oceania"
"16963","16963","0.34938","oceania"
"17865","17865","0.28944","oceania"
"17936","17936","0.32125","oceania"
"19097","19097","0.29477","oceania"
"20758","20758","0.32598","oceania"
"20813","20813","0.33999","oceania"
"20835","20835","0.32405","oceania"
"20879","20879","0.32826","oceania"
"21341","21341","0.27759","oceania"
"21825","21825","0.33313","oceania"
"23354","23354","0.33216","oceania"
"24795","24795","0.3537","oceania"
"27083","27083","0.30777","oceania"
"27930","27930","0.352","oceania"
"28084","28084","0.32278","oceania"
"28326","28326","0.2998","oceania"
"28975","28975","0.27521","oceania"
"29","overall_score","0.323106687983246","oceania"
"10973","10973","0.36936","europe"
"11804","11804","0.37577","europe"
"13520","13520","0.34812","europe"
"13894","13894","0.31687","europe"
"14103","14103","0.4141","europe"
"14818","14818","0.31522","europe"
"15676","15676","0.38626","europe"
"16666","16666","0.30354","europe"
"16919","16919","0.37349","europe"
"19724","19724","0.3645","europe"
"21693","21693","0.37836","europe"
"22804","22804","0.34046","europe"
"23090","23090","0.30104","europe"
"25741","25741","0.40131","europe"
"26159","26159","0.3744","europe"
"27446","27446","0.37634","europe"
"17","overall_score","0.358696797801352","europe"
