"","societies","scores","location"
"10495","10495","0.33984","africa"
"11155","11155","0.35431","africa"
"11215","11215","0.29025","africa"
"11342","11342","0.33467","africa"
"11529","11529","0.34471","africa"
"11672","11672","0.34165","africa"
"11793","11793","0.33143","africa"
"11870","11870","0.31901","africa"
"12783","12783","0.31659","africa"
"13388","13388","0.33845","africa"
"13806","13806","0.29783","africa"
"14598","14598","0.3423","africa"
"14675","14675","0.35819","africa"
"15027","15027","0.36283","africa"
"15390","15390","0.29148","africa"
"15544","15544","0.33178","africa"
"15577","15577","0.32581","africa"
"15687","15687","0.35792","africa"
"16402","16402","0.29784","africa"
"16688","16688","0.32514","africa"
"19262","19262","0.29135","africa"
"19614","19614","0.28958","africa"
"20098","20098","0.32637","africa"
"20131","20131","0.2756","africa"
"20241","20241","0.29242","africa"
"20252","20252","0.33911","africa"
"20615","20615","0.30748","africa"
"21044","21044","0.33036","africa"
"21132","21132","0.28804","africa"
"21242","21242","0.27567","africa"
"21737","21737","0.3365","africa"
"22276","22276","0.339","africa"
"22870","22870","0.33043","africa"
"23464","23464","0.33659","africa"
"24707","24707","0.31631","africa"
"25411","25411","0.33299","africa"
"25444","25444","0.35148","africa"
"25466","25466","0.32968","africa"
"25917","25917","0.35433","africa"
"26522","26522","0.34179","africa"
"26533","26533","0.37486","africa"
"27314","27314","0.32776","africa"
"27369","27369","0.32941","africa"
"27545","27545","0.32835","africa"
"28744","28744","0.27264","africa"
"29107","29107","0.3179","africa"
"29228","29228","0.34577","africa"
"48","overall_score","0.325187448397458","africa"
"10000","10000","0.23064","oceania"
"10033","10033","0.2484","oceania"
"12205","12205","0.20513","oceania"
"13784","13784","0.24909","oceania"
"14037","14037","0.29382","oceania"
"14378","14378","0.19559","oceania"
"14999","14999","0.20312","oceania"
"15302","15302","0.21242","oceania"
"15401","15401","0.1978","oceania"
"15896","15896","0.22579","oceania"
"16611","16611","0.20176","oceania"
"16963","16963","0.18929","oceania"
"17865","17865","0.16688","oceania"
"17936","17936","0.1687","oceania"
"19097","19097","0.17676","oceania"
"20758","20758","0.27212","oceania"
"20813","20813","0.20606","oceania"
"20835","20835","0.19176","oceania"
"20879","20879","0.1799","oceania"
"21341","21341","0.16697","oceania"
"21825","21825","0.23558","oceania"
"23354","23354","0.21296","oceania"
"24795","24795","0.20944","oceania"
"27083","27083","0.23148","oceania"
"27930","27930","0.20569","oceania"
"28084","28084","0.18418","oceania"
"28326","28326","0.23018","oceania"
"28975","28975","0.2887","oceania"
"29","overall_score","0.213579068008311","oceania"
"10973","10973","0.27863","europe"
"11804","11804","0.28884","europe"
"13520","13520","0.29262","europe"
"13894","13894","0.2691","europe"
"14103","14103","0.33411","europe"
"14818","14818","0.35009","europe"
"15676","15676","0.31792","europe"
"16666","16666","0.27428","europe"
"16919","16919","0.32499","europe"
"19724","19724","0.3206","europe"
"21693","21693","0.32928","europe"
"22804","22804","0.25985","europe"
"23090","23090","0.28302","europe"
"25741","25741","0.30992","europe"
"26159","26159","0.38823","europe"
"27446","27446","0.32115","europe"
"17","overall_score","0.30891382374074","europe"
