"","societies","scores","location"
"10495","10495","0.28694","africa"
"11155","11155","0.33974","africa"
"11215","11215","0.39317","africa"
"11342","11342","0.29139","africa"
"11529","11529","0.33944","africa"
"11672","11672","0.32477","africa"
"11793","11793","0.35331","africa"
"11870","11870","0.35303","africa"
"12783","12783","0.30939","africa"
"13388","13388","0.33567","africa"
"13806","13806","0.31422","africa"
"14598","14598","0.36953","africa"
"14675","14675","0.35387","africa"
"15027","15027","0.32931","africa"
"15390","15390","0.3497","africa"
"15544","15544","0.36519","africa"
"15577","15577","0.34836","africa"
"15687","15687","0.30881","africa"
"16402","16402","0.31669","africa"
"16688","16688","0.35769","africa"
"19262","19262","0.36508","africa"
"19614","19614","0.34028","africa"
"20098","20098","0.34968","africa"
"20131","20131","0.34052","africa"
"20241","20241","0.33257","africa"
"20252","20252","0.38733","africa"
"20615","20615","0.38845","africa"
"21044","21044","0.35924","africa"
"21132","21132","0.35186","africa"
"21242","21242","0.37711","africa"
"21737","21737","0.28471","africa"
"22276","22276","0.40494","africa"
"22870","22870","0.33656","africa"
"23464","23464","0.36621","africa"
"24707","24707","0.35854","africa"
"25411","25411","0.32472","africa"
"25444","25444","0.38061","africa"
"25466","25466","0.36698","africa"
"25917","25917","0.39383","africa"
"26522","26522","0.33406","africa"
"26533","26533","0.36894","africa"
"27314","27314","0.33441","africa"
"27369","27369","0.31019","africa"
"27545","27545","0.27828","africa"
"28744","28744","0.36522","africa"
"29107","29107","0.31729","africa"
"29228","29228","0.40093","africa"
"48","overall_score","0.345931803663991","africa"
"10000","10000","0.30842","oceania"
"10033","10033","0.32431","oceania"
"12205","12205","0.39651","oceania"
"13784","13784","0.30618","oceania"
"14037","14037","0.28773","oceania"
"14378","14378","0.41117","oceania"
"14999","14999","0.37099","oceania"
"15302","15302","0.3657","oceania"
"15401","15401","0.27666","oceania"
"15896","15896","0.27493","oceania"
"16611","16611","0.33723","oceania"
"16963","16963","0.33267","oceania"
"17865","17865","0.36019","oceania"
"17936","17936","0.35668","oceania"
"19097","19097","0.3418","oceania"
"20758","20758","0.30929","oceania"
"20813","20813","0.3756","oceania"
"20835","20835","0.32218","oceania"
"20879","20879","0.29982","oceania"
"21341","21341","0.35078","oceania"
"21825","21825","0.36223","oceania"
"23354","23354","0.41439","oceania"
"24795","24795","0.30167","oceania"
"27083","27083","0.35777","oceania"
"27930","27930","0.37171","oceania"
"28084","28084","0.36044","oceania"
"28326","28326","0.37013","oceania"
"28975","28975","0.37318","oceania"
"29","overall_score","0.343584117979621","oceania"
"10973","10973","0.19933","europe"
"11804","11804","0.22142","europe"
"13520","13520","0.2769","europe"
"13894","13894","0.19157","europe"
"14103","14103","0.1932","europe"
"14818","14818","0.23548","europe"
"15676","15676","0.27592","europe"
"16666","16666","0.21874","europe"
"16919","16919","0.22918","europe"
"19724","19724","0.32527","europe"
"21693","21693","0.255","europe"
"22804","22804","0.25139","europe"
"23090","23090","0.18486","europe"
"25741","25741","0.33101","europe"
"26159","26159","0.1909","europe"
"27446","27446","0.29734","europe"
"17","overall_score","0.242343810875713","europe"
