"","societies","scores","location"
"10495","10495","0.33182","africa"
"11155","11155","0.2856","africa"
"11215","11215","0.35606","africa"
"11342","11342","0.28635","africa"
"11529","11529","0.30582","africa"
"11672","11672","0.33114","africa"
"11793","11793","0.34402","africa"
"11870","11870","0.32814","africa"
"12002","12002","0.33389","africa"
"12112","12112","0.33769","africa"
"12783","12783","0.37413","africa"
"13388","13388","0.35326","africa"
"13806","13806","0.33925","africa"
"14576","14576","0.35399","africa"
"14598","14598","0.33418","africa"
"14675","14675","0.30168","africa"
"15027","15027","0.35625","africa"
"15390","15390","0.28706","africa"
"15544","15544","0.32139","africa"
"15577","15577","0.34453","africa"
"15687","15687","0.3883","africa"
"16402","16402","0.31433","africa"
"16479","16479","0.28462","africa"
"16688","16688","0.29977","africa"
"19262","19262","0.38332","africa"
"19614","19614","0.3031","africa"
"20098","20098","0.29703","africa"
"20131","20131","0.32512","africa"
"20230","20230","0.30621","africa"
"20241","20241","0.33189","africa"
"20252","20252","0.3388","africa"
"20615","20615","0.3578","africa"
"21044","21044","0.30695","africa"
"21132","21132","0.36705","africa"
"21242","21242","0.33426","africa"
"21737","21737","0.36859","africa"
"22276","22276","0.28649","africa"
"22870","22870","0.34793","africa"
"23464","23464","0.35908","africa"
"24707","24707","0.31637","africa"
"25411","25411","0.35519","africa"
"25444","25444","0.32994","africa"
"25466","25466","0.30607","africa"
"25917","25917","0.37877","africa"
"26522","26522","0.35564","africa"
"26533","26533","0.34941","africa"
"27314","27314","0.3543","africa"
"27369","27369","0.33254","africa"
"27545","27545","0.30167","africa"
"27781","27781","0.2847","africa"
"28744","28744","0.3302","africa"
"29107","29107","0.37512","africa"
"29228","29228","0.34824","africa"
"29360","29360","0.36283","africa"
"55","overall_score","0.33310915866698","africa"
"10000","10000","0.33646","oceania"
"10033","10033","0.28256","oceania"
"10140","10140","0.32096","oceania"
"10231","10231","0.31339","oceania"
"10962","10962","0.28781","oceania"
"12205","12205","0.27199","oceania"
"12816","12816","0.30207","oceania"
"12923","12923","0.32006","oceania"
"13784","13784","0.34521","oceania"
"14037","14037","0.30037","oceania"
"14378","14378","0.36492","oceania"
"14664","14664","0.31499","oceania"
"14999","14999","0.29153","oceania"
"15170","15170","0.28552","oceania"
"15302","15302","0.30937","oceania"
"15401","15401","0.32006","oceania"
"15896","15896","0.34521","oceania"
"15978","15978","0.33614","oceania"
"16170","16170","0.33857","oceania"
"16611","16611","0.2993","oceania"
"16963","16963","0.33008","oceania"
"17029","17029","0.27988","oceania"
"17265","17265","0.27522","oceania"
"17865","17865","0.32825","oceania"
"17936","17936","0.26944","oceania"
"19025","19025","0.3017","oceania"
"19097","19097","0.32199","oceania"
"19284","19284","0.30696","oceania"
"20758","20758","0.32104","oceania"
"20802","20802","0.38952","oceania"
"20813","20813","0.32702","oceania"
"20832","20832","0.35006","oceania"
"20835","20835","0.2688","oceania"
"20879","20879","0.31665","oceania"
"20901","20901","0.31509","oceania"
"20923","20923","0.34227","oceania"
"21341","21341","0.33666","oceania"
"21825","21825","0.27243","oceania"
"23070","23070","0.36005","oceania"
"23354","23354","0.25707","oceania"
"23981","23981","0.26359","oceania"
"24795","24795","0.31399","oceania"
"26401","26401","0.26364","oceania"
"26632","26632","0.2542","oceania"
"27083","27083","0.31422","oceania"
"27286","27286","0.33307","oceania"
"27340","27340","0.36531","oceania"
"27930","27930","0.26198","oceania"
"28084","28084","0.28116","oceania"
"28326","28326","0.25779","oceania"
"28456","28456","0.35075","oceania"
"28914","28914","0.29915","oceania"
"28975","28975","0.28066","oceania"
"30032","30032","0.30643","oceania"
"30037","30037","0.341","oceania"
"30040","30040","0.36144","oceania"
"30041","30041","0.35171","oceania"
"30176","30176","0.35535","oceania"
"59","overall_score","0.312277746278014","oceania"
"10374","10374","0.4005","europe"
"10858","10858","0.29857","europe"
"10902","10902","0.3502","europe"
"10973","10973","0.35992","europe"
"11760","11760","0.29468","europe"
"11804","11804","0.33324","europe"
"12409","12409","0.32693","europe"
"12607","12607","0.31893","europe"
"12761","12761","0.3681","europe"
"12948","12948","0.36242","europe"
"13520","13520","0.29173","europe"
"13894","13894","0.29898","europe"
"14103","14103","0.29973","europe"
"14147","14147","0.28973","europe"
"14752","14752","0.31391","europe"
"14818","14818","0.28804","europe"
"14851","14851","0.30227","europe"
"15313","15313","0.2968","europe"
"15522","15522","0.27155","europe"
"15676","15676","0.33836","europe"
"16363","16363","0.31001","europe"
"16666","16666","0.29195","europe"
"16919","16919","0.34701","europe"
"17271","17271","0.28721","europe"
"18624","18624","0.3133","europe"
"19724","19724","0.3388","europe"
"19922","19922","0.40035","europe"
"20087","20087","0.27526","europe"
"20318","20318","0.36781","europe"
"21693","21693","0.3641","europe"
"22188","22188","0.31056","europe"
"22804","22804","0.33099","europe"
"23090","23090","0.36787","europe"
"23662","23662","0.29548","europe"
"23915","23915","0.34539","europe"
"24472","24472","0.32785","europe"
"24597","24597","0.38563","europe"
"25741","25741","0.31422","europe"
"25752","25752","0.34569","europe"
"26027","26027","0.38028","europe"
"26049","26049","0.31957","europe"
"26071","26071","0.33812","europe"
"26075","26075","0.36851","europe"
"26159","26159","0.35924","europe"
"26654","26654","0.33745","europe"
"27446","27446","0.32002","europe"
"27908","27908","0.37849","europe"
"50266","50266","0.35829","europe"
"62297","62297","0.3402","europe"
"62416","62416","0.31414","europe"
"62553","62553","0.36135","europe"
"52","overall_score","0.33136774752089","europe"
