"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","differentiation","=~","line_37",1,0,NA,NA,1,1,0.149985495923553,0.617748020745637,0.617748020745637
"2","differentiation","=~","line_10",-1.47873052746362,0.0818907044441482,-18.0573672860777,0,-1.63923335884276,-1.31822769608447,-0.221788131498927,-0.751384971514992,-0.751384971514992
"3","differentiation","=~","line_30",1.44982114032833,0.0811795609262009,17.8594355991447,0,1.2907121246322,1.60893015602445,0.217452142732594,0.729973830778578,0.729973830778578
"4","differentiation","=~","line_23",0.537253950362108,0.0361866450617436,14.8467466228333,0,0.466329429319757,0.60817847140446,0.0805803001819485,0.294347866250337,0.294347866250337
"5","ornamentation","=~","line_28",1,0,NA,NA,1,1,0.166988741043953,0.570598004351251,0.570598004351251
"6","ornamentation","=~","line_29",1.59837905191851,0.0821802920019793,19.4496638181818,0,1.43730863935565,1.75944946448138,0.266911305590901,0.819267503931042,0.819267503931042
"7","ornamentation","=~","line_23",0.960719359716524,0.0434751748570262,22.0981137597715,0,0.875509582775171,1.04592913665788,0.160429316375615,0.586024460724723,0.586024460724723
"8","ornamentation","=~","line_31",0.95240229707288,0.0525070974524258,18.1385439927584,0,0.849490277133391,1.05531431701237,0.15904046055557,0.458484510264959,0.458484510264959
"9","rhythm","=~","line_11",1,0,NA,NA,1,1,0.142487840320668,0.610184918265983,0.610184918265983
"10","rhythm","=~","line_24",-0.842074586922348,0.0393641514637636,-21.3919151209829,0,-0.919226906073304,-0.764922267771392,-0.119985389279484,-0.601204085489998,-0.601204085489998
"11","rhythm","=~","line_17",1.05741094832341,0.0504554481876093,20.9573195027743,0,0.958520087051864,1.15630180959495,0.150668202358032,0.573450421596588,0.573450421596588
"12","dynamics","=~","line_25",1,0,NA,NA,1,1,0.160828393333402,0.716663627523181,0.716663627523181
"13","dynamics","=~","line_36",1.14436420578108,0.05439792150391,21.036910494803,0,1.03774623879957,1.25098217276258,0.184046256604025,0.808397802472606,0.808397802472606
"14","dynamics","=~","line_32",0.321140047988659,0.0263319393383259,12.1958373009482,0,0.269530395242447,0.372749700734871,0.0516484379530278,0.25661420353106,0.25661420353106
"15","dynamics","=~","line_35",0.374982978170449,0.0293949301028532,12.756722906242,0,0.317369973840784,0.432595982500113,0.0603079099065275,0.225317274680018,0.225317274680018
"16","tension","=~","line_34",1,0,NA,NA,1,1,0.192503090020203,0.694027767932694,0.694027767932694
"17","tension","=~","line_35",0.517517300405318,0.0270437839755235,19.1362754884342,0,0.464512457807611,0.570522143003025,0.0996236794669372,0.372205503156667,0.372205503156667
"18","tension","=~","line_33",-0.789244566003809,0.0395885508336171,-19.936182289694,0,-0.866836699837832,-0.711652432169787,-0.151932017737387,-0.689712887820501,-0.689712887820501
"19","tension","=~","line_29",-0.652473998786561,0.0590297286140384,-11.0533118499107,0,-0.76817014088725,-0.536777856685872,-0.125603260924251,-0.385531327851399,-0.385531327851399
"20","differentiation","~~","ornamentation",0.00333542611511641,0.000726915689498573,4.58846350863219,4.46520340458001e-06,0.00191069754390211,0.00476015468633071,0.133172597570344,0.133172597570344,0.133172597570344
"21","differentiation","~~","rhythm",0.00565550949890162,0.000658124785154131,8.59336956528255,0,0.00436560862266637,0.00694541037513688,0.264633407407612,0.264633407407612,0.264633407407612
