"","Sigma","%","response"
"Variations  Between Language_family  ",-0.00913006932087745,-2.84882685254016,"tension"
"Variations  Between samples Within Language_family",0.13784653761836,43.0118221554896,"tension"
"Variations  Within samples",0.191768762763036,59.8370046970506,"tension"
"Total variations",0.320485231060519,100,"tension"
