"","Sigma","%","response"
"Variations  Between Language_family  ",0.029127134096803,6.47888835532981,"ornamentation"
"Variations  Between samples Within Language_family",0.155813101919654,34.6582567402628,"ornamentation"
"Variations  Within samples",0.26462969788805,58.8628549044074,"ornamentation"
"Total variations",0.449569933904507,100,"ornamentation"
