"","Sigma","%","response"
"Variations  Between Language_family  ",0.000197774610612307,0.119672669624562,"rhythm"
"Variations  Between samples Within Language_family",0.0489985979811856,29.6488665057408,"rhythm"
"Variations  Within samples",0.116066599507652,70.2314608246346,"rhythm"
"Total variations",0.16526297209945,100,"rhythm"
