"","Sigma","%","response"
"Variations  Between Language_family  ",-0.0198554297892315,-5.14381761422407,"ornamentation"
"Variations  Between samples Within Language_family",0.172750677332044,44.7533992647005,"ornamentation"
"Variations  Within samples",0.233110464135723,60.3904183495236,"ornamentation"
"Total variations",0.386005711678536,100,"ornamentation"
