"","Sigma","%","response"
"Variations  Between Language_family  ",-1.56406427434325e-06,-0.000724337753958376,"dynamics"
"Variations  Between samples Within Language_family",0.0734066175681524,33.9955239482236,"dynamics"
"Variations  Within samples",0.142525189783307,66.0052003895303,"dynamics"
"Total variations",0.215930243287185,100,"dynamics"
