"","Sigma","%","response"
"Variations  Between Language_family  ",0.00287621659196654,0.901862069748041,"tension"
"Variations  Between samples Within Language_family",0.138147144073798,43.3172069280747,"tension"
"Variations  Within samples",0.177896426344469,55.7809310021772,"tension"
"Total variations",0.318919787010234,100,"tension"
