"","Sigma","%","response"
"Variations  Between Language_family  ",0.00619370605191886,1.54722994515703,"ornamentation"
"Variations  Between samples Within Language_family",0.163767167575016,40.9101535626012,"ornamentation"
"Variations  Within samples",0.230348470908811,57.5426164922418,"ornamentation"
"Total variations",0.400309344535745,100,"ornamentation"
