"","Sigma","%","response"
"Variations  Between Language_family  ",-0.00375393522336385,-2.12779499136558,"rhythm"
"Variations  Between samples Within Language_family",0.0542556555708728,30.7530378943274,"rhythm"
"Variations  Within samples",0.125922006496337,71.3747570970381,"rhythm"
"Total variations",0.176423726843846,100,"rhythm"
