"","Sigma","%","response"
"Variations  Between Language_family  ",0.00379640051223277,1.72776286144964,"dynamics"
"Variations  Between samples Within Language_family",0.0724441941197859,32.9697532503494,"dynamics"
"Variations  Within samples",0.143488663181029,65.3024838882009,"dynamics"
"Total variations",0.219729257813047,100,"dynamics"
