"","Sigma","%","response"
"Variations  Between Language_family  ",-0.00305145789126579,-1.35223878709378,"dynamics"
"Variations  Between samples Within Language_family",0.0706995921687372,31.3301818897527,"dynamics"
"Variations  Within samples",0.158011558403283,70.0220568973411,"dynamics"
"Total variations",0.225659692680754,100,"dynamics"
