"","Sigma","%","response"
"Variations  Between Language_family  ",-0.00421990278478222,-1.39050902980162,"tension"
"Variations  Between samples Within Language_family",0.132707799421702,43.7288257176052,"tension"
"Variations  Within samples",0.174991095181226,57.6616833121964,"tension"
"Total variations",0.303478991818146,100,"tension"
