"","Sigma","%","response"
"Variations  Between Language_family  ",0.00346210825865004,1.02631677573783,"differentiation"
"Variations  Between samples Within Language_family",0.175308197676951,51.9688382795906,"differentiation"
"Variations  Within samples",0.158562995097219,47.0048449446715,"differentiation"
"Total variations",0.337333301032819,100,"differentiation"
